RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,distance,sidewalk_right,sidewalk_left,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score,interpretation
56050,2883,HOLLAND RD NW,Local Access,2,1369,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1369,0,Nothing
56050,6573,HOLLAND RD NW,Local Access,2,343,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,343,0,Nothing
56050,3596,HOLLAND RD NW,Local Access,2,156,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,156,0,Nothing
56000,9266,NW SCHUYLER RD,Local Access,2,795,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,795,0,Nothing
15650,13741,W SHERMAN HEIGHTS RD,Local Access,2,750,Urban,750,750,NA,NA,3,NA,5,NA,0,1,1,1,750,750,Poor
15650,19422,W SHERMAN HEIGHTS RD,Local Access,2,221,Urban,221,221,NA,NA,3,NA,5,NA,0,1,1,1,221,221,Poor
33767,4118,SE SKYHAWK LN,Local Access,1,667,Rural,667,667,NA,NA,3,3,NA,3,5,5,10,10,667,6670,Good
12930,3987,SCHULTZ RD NW,Local Access,1,1139,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1139,0,Nothing
70771,2785,SEMINOLE RD NE,Local Access,1,1393,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1393,0,Nothing
11170,11215,NW SEAVIEW DR,Local Access,1,4276,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4276,0,Nothing
1055,6163,LOST HWY W,Local Access,1,2504,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2504,0,Nothing
10700,14865,NW HITE CENTER RD,Local Access,1,2915,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2915,0,Nothing
10700,7294,NW HITE CENTER RD,Local Access,1,856,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,856,0,Nothing
44940,12747,HARPER HILL RD SE,Local Access,1,3434,Rural,3434,3434,NA,NA,2,2,NA,3,1,1,2,2,3434,6868,Poor
44940,19405,HARPER HILL RD SE,Local Access,1,314,Rural,314,314,NA,NA,2,2,NA,3,1,1,2,2,314,628,Poor
71500,12055,NOLL RD NE,Major Collector,2,2838,Urban,2838,2811,NA,NA,1,1,6,NA,1,1,2,2,2811,5622,Poor
40490,12875,HARRIS RD SE,Local Access,2,848,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,848,0,Nothing
40490,14284,HARRIS RD SE,Local Access,2,299,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,299,0,Nothing
40490,19467,HARRIS RD SE,Local Access,2,268,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,268,0,Nothing
8040,12928,FERN ST NE,Local Access,1,1154,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1154,0,Nothing
500,6657,NE SEAVIEW AVE,Local Access,1,324,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,324,0,Nothing
500,7530,NE SEAVIEW AVE,Local Access,1,283,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,283,0,Nothing
19519,4872,CHICO WAY NW,Minor Arterial,2,2392,Urban,2392,1174,NA,NA,8,6,6,NA,2,2,4,4,1174,4696,Minimum
19519,4872,CHICO WAY NW,Minor Arterial,2,2392,Urban,2392,1217,NA,NA,6,6,6,NA,2,2,4,4,1217,4868,Minimum
19519,703,CHICO WAY NW,Minor Arterial,2,615,Urban,615,615,NA,NA,8,6,6,NA,2,2,4,4,615,2460,Minimum
56261,5389,ST CHARLES LN NE,Local Access,2,295,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,295,0,Nothing
41409,4927,SE OLYMPIAD DR,Local Access,1,1085,Rural,1085,1069,NA,NA,1,NA,NA,3,0,1,1,1,1069,1069,Poor
41409,4927,SE OLYMPIAD DR,Local Access,1,1085,Rural,1085,462,NA,NA,NA,1,NA,3,1,0,1,1,462,462,Poor
41409,1540,SE OLYMPIAD DR,Local Access,1,728,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,728,0,Nothing
500,19212,NE SPRUCE AVE,Local Access,1,121,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,121,0,Nothing
12930,19290,SCHULTZ RD NW,Local Access,1,419,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,419,0,Nothing
500,7253,NE SPRUCE AVE,Local Access,1,464,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,464,0,Nothing
11170,19291,NW SEAVIEW DR,Local Access,1,1356,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1356,0,Nothing
70771,19292,SEMINOLE RD NE,Local Access,1,1651,Rural,1651,1651,NA,NA,2,2,NA,3,1,1,2,2,1651,3302,Poor
7013,6543,NW EQUESTRIAN DR,Local Access,1,441,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,441,0,Nothing
7013,4226,NW EQUESTRIAN DR,Local Access,1,157,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,157,0,Nothing
8056,11267,FLORENCE ST NE,Local Access,1,239,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,239,0,Nothing
83670,2121,PARCELLS RD NE,Local Access,1,267,Rural,267,267,NA,NA,1,1,NA,3,1,1,2,2,267,534,Poor
89790,15867,SKUNK BAY RD NE,Local Access,1,1094,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1094,0,Nothing
8025,12359,BEAR BERRY PL NE,Local Access,1,831,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,831,0,Nothing
33100,10466,SE FRAGARIA RD,Local Access,1,3820,Rural,3820,3359,NA,NA,2,2,NA,3,1,1,2,2,3359,6718,Poor
33100,10466,SE FRAGARIA RD,Local Access,1,3820,Rural,3820,6,NA,NA,3,3,NA,3,5,5,10,10,6,60,Good
41409,10327,OLYMPIAD DR SE,Local Access,1,426,Rural,426,426,NA,NA,1,1,NA,3,1,1,2,2,426,852,Poor
45310,8795,NOKOMIS RD SE,Local Access,1,2135,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2135,0,Nothing
53970,1345,PETERSVILLE RD NE,Major Collector,2,1311,Urban,1311,1311,NA,NA,3,NA,6,NA,0,1,1,1,1311,1311,Poor
10810,6292,NW STAVIS BAY RD,Local Access,1,349,Rural,349,349,NA,NA,1,1,NA,3,1,1,2,2,349,698,Poor
10810,970,NW STAVIS BAY RD,Local Access,1,1950,Rural,1950,1950,NA,NA,1,1,NA,3,1,1,2,2,1950,3900,Poor
10810,1030,NW STAVIS BAY RD,Local Access,1,1577,Rural,1577,1577,NA,NA,1,1,NA,3,1,1,2,2,1577,3154,Poor
10810,18352,NW STAVIS BAY RD,Local Access,1,276,Rural,276,276,NA,NA,1,1,NA,3,1,1,2,2,276,552,Poor
13820,16358,NW APEX AIRPORT RD,Local Access,2,804,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,804,0,Nothing
56140,1750,NE MCWILLIAMS RD,Minor Arterial,2,621,Urban,621,184,NA,NA,4,4,6,NA,1,1,2,2,184,368,Poor
56140,1750,NE MCWILLIAMS RD,Minor Arterial,2,621,Urban,621,437,NA,NA,3,5,6,NA,1,1,2,2,437,874,Poor
56140,19402,NE MCWILLIAMS RD,Minor Arterial,2,530,Urban,530,526,NA,NA,4,4,6,NA,1,1,2,2,526,1052,Poor
56140,19402,NE MCWILLIAMS RD,Minor Arterial,2,530,Urban,530,4,NA,NA,4,4,6,NA,1,1,2,2,4,8,Poor
7013,5826,NW EQUESTRIAN DR,Local Access,1,2433,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2433,0,Nothing
8006,9460,NE CARRIAGE DR,Local Access,1,970,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,970,0,Nothing
7015,13221,BREIDABLICK PL NW,Local Access,1,628,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,628,0,Nothing
8008,6267,NE 272ND ST,Local Access,1,428,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,428,0,Nothing
8006,5854,NE CARRIAGE DR,Local Access,1,314,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,314,0,Nothing
8028,817,NEWELLHURST CIR NE,Local Access,2,1025,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1025,0,Nothing
13820,19394,NW APEX AIRPORT RD,Local Access,2,574,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,574,0,Nothing
100,18612,GUY WETZEL ST,Local Access,2,19,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,0,Nothing
7010,11168,LINCOLN PL NE,Local Access,1,269,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,269,0,Nothing
500,10854,OLD MAN STATE PARK WAY,Local Access,1,180,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,180,0,Nothing
74610,3405,NE LINCOLN RD E,Local Access,1,990,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,990,0,Nothing
72380,6967,NE PEAR ST,Local Access,1,264,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,264,0,Nothing
72380,15623,NE PEAR ST,Local Access,1,165,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165,0,Nothing
7014,11366,4TH AVE NE,Local Access,1,255,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,255,0,Nothing
36000,16075,SE KING RD,Local Access,1,419,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,419,0,Nothing
84370,19217,WASHINGTON BLVD NE,Local Access,2,546,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,546,0,Nothing
21300,19257,SW HUCKLEBERRY RD,Local Access,1,1941,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1941,0,Nothing
36000,19262,SE KING RD,Local Access,1,129,Rural,129,66,NA,NA,1,1,NA,3,1,1,2,2,66,132,Poor
8030,9211,PUGET ST NE,Local Access,1,725,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,725,0,Nothing
80600,13018,NE HARRIS AVE,Local Access,1,337,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,337,0,Nothing
8013,5925,NE MIDWAY AVE,Local Access,1,185,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,185,0,Nothing
8015,9009,NE EVERGREEN AVE,Local Access,1,282,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,282,0,Nothing
8058,7467,HEMLOCK ST NE,Local Access,1,217,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,217,0,Nothing
8039,3276,ALDER ST NE,Local Access,1,898,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,898,0,Nothing
8039,1086,ALDER ST NE,Local Access,1,263,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,263,0,Nothing
8039,13241,ALDER ST NE,Local Access,1,903,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,903,0,Nothing
8018,3159,NE SPRUCE AVE,Local Access,1,670,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,670,0,Nothing
8034,4980,NE FIR ST,Local Access,1,416,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,416,0,Nothing
8043,11254,NE MAPLE AVE,Local Access,1,260,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,260,0,Nothing
77150,3603,NE LINCOLN RD,Major Collector,1,131,Rural,131,131,NA,NA,4,4,NA,6,3,3,6,6,131,786,Adequate
98041,9347,NE MARINE VIEW DR,Local Access,1,420,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,420,0,Nothing
80243,15567,WESTERN AVE NE,Local Access,1,37,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,37,0,Nothing
31110,4821,STARR RD SE,Local Access,1,413,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,413,0,Nothing
31110,19392,STARR RD SE,Local Access,1,195,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,195,0,Nothing
8046,8726,RASPBERRY PL NE,Local Access,1,607,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,607,0,Nothing
7033,5123,NORTH RYEN DR NW,Local Access,1,485,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,485,0,Nothing
7036,10606,NW COSTA VIDA WAY,Local Access,1,610,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,610,0,Nothing
8008,3270,NE 272ND ST,Local Access,1,1187,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1187,0,Nothing
8027,383,STRAWBERRY LN NE,Local Access,2,341,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,341,0,Nothing
8011,1853,HILLER LN NE,Local Access,2,353,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,353,0,Nothing
8027,3567,STRAWBERRY LN NE,Local Access,1,1442,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1442,0,Nothing
8007,3070,SHANNON LN NE,Local Access,1,982,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,982,0,Nothing
83670,481,PARCELLS RD NE,Local Access,1,271,Rural,271,271,NA,NA,1,1,NA,3,1,1,2,2,271,542,Poor
80188,10856,NE MIDWAY AVE,Local Access,1,410,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,410,0,Nothing
8058,15620,HEMLOCK ST NE,Local Access,1,217,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,217,0,Nothing
8058,15622,HEMLOCK ST NE,Local Access,1,121,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,121,0,Nothing
500,623,NE MAPLE AVE,Local Access,1,182,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,182,0,Nothing
8034,15617,NE FIR ST,Local Access,1,204,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,204,0,Nothing
80188,10418,NE MIDWAY AVE,Local Access,1,727,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,727,0,Nothing
8058,7077,HEMLOCK ST NE,Local Access,1,218,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,218,0,Nothing
8058,2589,HEMLOCK ST NE,Local Access,1,213,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,213,0,Nothing
80600,7388,NE HARRIS AVE,Local Access,1,315,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,315,0,Nothing
79460,53,NE VALLEY ST,Local Access,1,563,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,563,0,Nothing
79460,19395,NE VALLEY ST,Local Access,1,551,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,551,0,Nothing
76470,2081,NW ARCADIA CT,Local Access,1,192,Rural,192,192,NA,NA,6,6,NA,3,5,5,10,10,192,1920,Good
7031,16559,TWELVE TREES LN NW,Local Access,1,1066,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1066,0,Nothing
7011,13948,LINCOLN CT NE,Local Access,1,379,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,379,0,Nothing
80077,1537,NE BEACHWOOD AVE,Local Access,1,246,Rural,246,0,NA,NA,1,NA,NA,3,0,1,1,1,0,0,Poor
7007,11204,IRWIN AVE NE,Local Access,1,1097,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1097,0,Nothing
74610,10522,NE LINCOLN RD E,Local Access,1,523,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,523,0,Nothing
74610,13947,NE LINCOLN RD E,Local Access,1,593,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,593,0,Nothing
71991,417,DIVISION AVE NE,Local Access,1,404,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,404,0,Nothing
73240,8886,NE FERN ST,Local Access,1,263,Rural,263,263,NA,NA,2,2,NA,3,1,1,2,2,263,526,Poor
5011,1003,CEDAR AVE NW,Local Access,2,433,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,433,0,Nothing
57507,9019,LAKEVIEW AVE NW,Local Access,2,533,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,533,0,Nothing
5092,6333,ASH AVE NW,Local Access,2,653,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,653,0,Nothing
5063,11851,NW MARVIN ST,Local Access,2,181,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,181,0,Nothing
74200,10605,VIKING WAY NW,Minor Arterial,1,474,Rural,474,0,NA,NA,NA,7,NA,4,5,0,5,5,0,0,Adequate
74200,10605,VIKING WAY NW,Minor Arterial,1,474,Rural,474,474,NA,NA,7,7,NA,4,5,5,10,10,474,4740,Good
74200,11808,VIKING WAY NW,Minor Arterial,1,132,Rural,132,0,NA,NA,NA,7,NA,4,5,0,5,5,0,0,Adequate
74200,11808,VIKING WAY NW,Minor Arterial,1,132,Rural,132,132,NA,NA,7,7,NA,4,5,5,10,10,132,1320,Good
57480,6397,STILLER BLVD NW,Local Access,2,271,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,271,0,Nothing
5079,10287,HEMLOCK AVE NW,Local Access,2,560,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,560,0,Nothing
77150,16773,NE LINCOLN RD,Major Collector,1,273,Rural,273,273,NA,NA,4,4,NA,6,3,3,6,6,273,1638,Adequate
7001,15927,NE FIR ST,Local Access,1,209,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,209,0,Nothing
71991,14225,DIVISION AVE NE,Minor Arterial,1,24,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,0,Nothing
7012,13493,LINCOLN TER NE,Local Access,1,441,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,441,0,Nothing
71991,4438,DIVISION AVE NE,Local Access,1,503,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,503,0,Nothing
80415,15779,INDIANOLA RD NE,Minor Collector,1,72,Rural,72,72,NA,NA,4,4,NA,4,5,5,10,10,72,720,Good
80188,6053,NE MIDWAY AVE,Local Access,1,332,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,332,0,Nothing
80188,4879,NE MIDWAY AVE,Local Access,1,326,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,326,0,Nothing
8040,6604,FERN ST NE,Local Access,1,811,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,811,0,Nothing
80188,1402,NE MIDWAY AVE,Local Access,1,342,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,342,0,Nothing
8015,6510,NE EVERGREEN AVE,Local Access,1,598,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,598,0,Nothing
80240,771,NE LOUGHREY AVE,Local Access,1,608,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,608,0,Nothing
8048,1588,NE MIDWAY AVE,Local Access,1,300,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,300,0,Nothing
500,8354,NE LACEY ST,Local Access,1,622,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,622,0,Nothing
500,3707,NE ALDER AVE,Local Access,1,426,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,426,0,Nothing
8016,10816,NE MIDWAY AVE,Local Access,1,589,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,589,0,Nothing
8016,10475,NE MIDWAY AVE,Local Access,1,354,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,354,0,Nothing
8030,7281,PUGET ST NE,Local Access,1,880,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,880,0,Nothing
74790,3671,PORT GAMBLE RD NE,Local Access,1,85,Rural,85,85,NA,NA,5,2,NA,3,1,5,6,6,85,510,Adequate
7024,4913,ROLLING HILLS PL NE,Local Access,1,1365,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1365,0,Nothing
8028,8078,NEWELLHURST CIR NE,Local Access,1,686,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,686,0,Nothing
8021,7042,NE NEWELLHURST CT,Local Access,1,297,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,297,0,Nothing
5063,9429,NW MARVIN ST,Local Access,2,136,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136,0,Nothing
5039,6015,BEECH AVE NW,Local Access,2,652,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,652,0,Nothing
5011,3118,CEDAR AVE NW,Local Access,2,558,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,558,0,Nothing
5063,4979,NW MARVIN ST,Local Access,2,122,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,122,0,Nothing
5039,1469,BEECH AVE NW,Local Access,2,567,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,567,0,Nothing
5010,10744,FIR AVE NW,Local Access,2,655,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,655,0,Nothing
400,10311,VETTER RD NE,Major Collector,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Nothing
46330,3034,ARNOLD AVE E,Local Access,2,275,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,275,0,Nothing
59900,14481,NW SHERMAN HILL RD,Major Collector,1,47,Rural,47,47,NA,NA,1,1,NA,6,1,1,2,2,47,94,Poor
5052,3714,NW PETERSON RD,Local Access,1,2108,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2108,0,Nothing
