RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_right,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,sidewalk_left,score_left,score_right,score,the_score,the_length,w_score
42510,12756,BEACH DR E,Minor Arterial,1,817,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,817,0
42510,12490,BEACH DR E,Minor Arterial,1,670,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,670,0
42510,1084,BEACH DR E,Minor Arterial,1,744,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,744,0
47412,13256,MIRACLE MILE DR E,Local Access,1,1304,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1304,0
42510,8696,BEACH DR E,Minor Arterial,1,266,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,266,0
42510,6620,BEACH DR E,Minor Arterial,1,229,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,229,0
49430,6647,COLCHESTER DR E,Minor Arterial,1,583,Rural,583,15,Manchester KRL,2,Manchester KRL,177,NA,4,6,NA,4,NA,5,5,10,10,177,1770
47450,827,PRICHARD RD E,Local Access,1,604,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,604,0
49435,9028,E MAIN ST,Local Access,1,160,Rural,160,15,Manchester KRL,2,Manchester KRL,48,5,NA,NA,NA,3,NA,0,5,5,5,48,240
48980,9658,NUBLING AVE E,Local Access,1,270,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,270,0
49435,210,E MAIN ST,Major Collector,1,241,Rural,241,15,Manchester KRL,2,Manchester KRL,73,5,NA,NA,NA,6,NA,0,5,5,5,73,365
