RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,NAME,tomatch,distance,sidewalk_right,sidewalk_left,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
7036,10606,NW COSTA VIDA WAY,Local Access,1,610,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,610,0
8008,3270,NE 272ND ST,Local Access,1,1187,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1187,0
8027,383,STRAWBERRY LN NE,Local Access,2,341,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,341,0
8011,1853,HILLER LN NE,Local Access,2,353,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,353,0
8027,3567,STRAWBERRY LN NE,Local Access,1,1442,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1442,0
8007,3070,SHANNON LN NE,Local Access,1,982,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,982,0
83670,481,PARCELLS RD NE,Local Access,1,271,Rural,271,1 North,1 North,271,NA,NA,1,1,NA,3,1,1,2,2,271,542
80188,10856,NE MIDWAY AVE,Local Access,1,410,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,410,0
8058,15620,HEMLOCK ST NE,Local Access,1,217,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,217,0
8058,15622,HEMLOCK ST NE,Local Access,1,121,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,121,0
500,623,NE MAPLE AVE,Local Access,1,182,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,182,0
8034,15617,NE FIR ST,Local Access,1,204,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,204,0
80188,10418,NE MIDWAY AVE,Local Access,1,727,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,727,0
8058,7077,HEMLOCK ST NE,Local Access,1,218,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,218,0
8058,2589,HEMLOCK ST NE,Local Access,1,213,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,213,0
80600,7388,NE HARRIS AVE,Local Access,1,315,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,315,0
79460,53,NE VALLEY ST,Local Access,1,563,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,563,0
79460,19395,NE VALLEY ST,Local Access,1,551,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,551,0
76470,2081,NW ARCADIA CT,Local Access,1,192,Rural,192,1 North,1 North,192,NA,NA,6,6,NA,3,5,5,10,10,192,1920
7031,16559,TWELVE TREES LN NW,Local Access,1,1066,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1066,0
7011,13948,LINCOLN CT NE,Local Access,1,379,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,379,0
80077,1537,NE BEACHWOOD AVE,Local Access,1,246,Rural,246,1 North,1 North,0,NA,NA,1,NA,NA,3,0,1,1,1,0,0
7007,11204,IRWIN AVE NE,Local Access,1,1097,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1097,0
74610,10522,NE LINCOLN RD E,Local Access,1,523,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,523,0
74610,13947,NE LINCOLN RD E,Local Access,1,593,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,593,0
71991,417,DIVISION AVE NE,Local Access,1,404,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,404,0
73240,8886,NE FERN ST,Local Access,1,263,Rural,263,1 North,1 North,263,NA,NA,2,2,NA,3,1,1,2,2,263,526
5011,1003,CEDAR AVE NW,Local Access,2,433,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,433,0
57507,9019,LAKEVIEW AVE NW,Local Access,2,533,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,533,0
5092,6333,ASH AVE NW,Local Access,2,653,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,653,0
5063,11851,NW MARVIN ST,Local Access,2,181,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,181,0
74200,10605,VIKING WAY NW,Minor Arterial,1,474,Rural,474,1 North,1 North,0,NA,NA,NA,7,NA,4,5,0,5,5,0,0
74200,10605,VIKING WAY NW,Minor Arterial,1,474,Rural,474,1 North,1 North,474,NA,NA,7,7,NA,4,5,5,10,10,474,4740
74200,11808,VIKING WAY NW,Minor Arterial,1,132,Rural,132,1 North,1 North,0,NA,NA,NA,7,NA,4,5,0,5,5,0,0
74200,11808,VIKING WAY NW,Minor Arterial,1,132,Rural,132,1 North,1 North,132,NA,NA,7,7,NA,4,5,5,10,10,132,1320
57480,6397,STILLER BLVD NW,Local Access,2,271,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,271,0
5079,10287,HEMLOCK AVE NW,Local Access,2,560,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,560,0
77150,16773,NE LINCOLN RD,Major Collector,1,273,Rural,273,1 North,1 North,273,NA,NA,4,4,NA,6,3,3,6,6,273,1638
7001,15927,NE FIR ST,Local Access,1,209,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,209,0
71991,14225,DIVISION AVE NE,Minor Arterial,1,24,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,0
7012,13493,LINCOLN TER NE,Local Access,1,441,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,441,0
71991,4438,DIVISION AVE NE,Local Access,1,503,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,503,0
80415,15779,INDIANOLA RD NE,Minor Collector,1,72,Rural,72,1 North,1 North,72,NA,NA,4,4,NA,4,5,5,10,10,72,720
80188,6053,NE MIDWAY AVE,Local Access,1,332,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,332,0
80188,4879,NE MIDWAY AVE,Local Access,1,326,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,326,0
8040,6604,FERN ST NE,Local Access,1,811,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,811,0
80188,1402,NE MIDWAY AVE,Local Access,1,342,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,342,0
8015,6510,NE EVERGREEN AVE,Local Access,1,598,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,598,0
80240,771,NE LOUGHREY AVE,Local Access,1,608,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,608,0
8048,1588,NE MIDWAY AVE,Local Access,1,300,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,300,0
500,8354,NE LACEY ST,Local Access,1,622,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,622,0
500,3707,NE ALDER AVE,Local Access,1,426,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,426,0
8016,10816,NE MIDWAY AVE,Local Access,1,589,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,589,0
8016,10475,NE MIDWAY AVE,Local Access,1,354,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,354,0
8030,7281,PUGET ST NE,Local Access,1,880,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,880,0
74790,3671,PORT GAMBLE RD NE,Local Access,1,85,Rural,85,1 North,1 North,85,NA,NA,5,2,NA,3,1,5,6,6,85,510
7024,4913,ROLLING HILLS PL NE,Local Access,1,1365,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1365,0
8028,8078,NEWELLHURST CIR NE,Local Access,1,686,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,686,0
8021,7042,NE NEWELLHURST CT,Local Access,1,297,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,297,0
5063,9429,NW MARVIN ST,Local Access,2,136,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136,0
5039,6015,BEECH AVE NW,Local Access,2,652,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,652,0
5011,3118,CEDAR AVE NW,Local Access,2,558,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,558,0
5063,4979,NW MARVIN ST,Local Access,2,122,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,122,0
5039,1469,BEECH AVE NW,Local Access,2,567,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,567,0
5010,10744,FIR AVE NW,Local Access,2,655,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,655,0
400,10311,VETTER RD NE,Major Collector,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
59900,14481,NW SHERMAN HILL RD,Major Collector,1,47,Rural,47,1 North,1 North,47,NA,NA,1,1,NA,6,1,1,2,2,47,94
5052,3714,NW PETERSON RD,Local Access,1,2108,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2108,0
70750,9668,DELATE RD NE,Local Access,1,316,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,316,0
5085,884,NORBUT LN NE,Local Access,1,1189,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1189,0
7032,5975,SEAPORT PL NW,Local Access,1,835,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,835,0
59110,18383,VIRGINIA LOOP RD NE,Local Access,1,82,Rural,82,1 North,1 North,82,NA,NA,2,2,NA,3,1,1,2,2,82,164
70771,19293,SEMINOLE RD NE,Local Access,1,772,Rural,772,1 North,1 North,32,NA,NA,2,2,NA,3,1,1,2,2,32,64
5078,3626,GREENWOOD ST NW,Local Access,2,251,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,251,0
5093,4210,PEEKABOO AVE NW,Local Access,2,395,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,395,0
79520,9273,NE HUDSON ST,Local Access,1,188,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,188,0
57507,13353,LAKEVIEW AVE NW,Local Access,2,313,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,313,0
59050,11738,CENTRAL VALLEY RD NE,Minor Arterial,2,534,Urban,534,1 North,1 North,534,NA,NA,5,5,6,NA,1,1,2,2,534,1068
59050,13552,CENTRAL VALLEY RD NE,Minor Arterial,1,780,Rural,780,1 North,1 North,780,NA,NA,5,5,NA,4,5,5,10,10,780,7800
5091,12950,NW NORTH ST,Local Access,2,291,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,291,0
77150,5211,NE LINCOLN RD,Minor Arterial,2,0,Urban,0,1 North,1 North,0,NA,NA,NA,4,6,NA,1,0,1,1,0,0
71410,13430,GALA WAY NE,Local Access,2,982,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,982,0
77150,1927,NE LINCOLN RD,Major Collector,2,1453,Urban,1453,1 North,1 North,1348,NA,NA,4,4,6,NA,1,1,2,2,1348,2696
77150,1927,NE LINCOLN RD,Major Collector,2,1453,Urban,1453,1 North,1 North,0,NA,NA,4,NA,6,NA,0,1,1,1,0,0
77150,18456,NE LINCOLN RD,Major Collector,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
71410,18457,GALA WAY NE,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
59750,15200,SCANDIA CT NW,Local Access,1,1037,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1037,0
59750,19361,SCANDIA CT NW,Local Access,1,193,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,193,0
74300,9451,NW CEDAR LN,Local Access,2,611,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,611,0
74300,19365,NW CEDAR LN,Local Access,2,580,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,580,0
59611,13085,PEARSON POINT RD NE,Local Access,1,1133,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1133,0
87350,15163,BODINE RD NE,Local Access,1,372,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,372,0
87350,15532,BODINE RD NE,Local Access,1,713,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,713,0
85273,14873,NE APPLE TREE POINT LN,Local Access,0,204,Unknown,204,1 North,1 North,12,NA,NA,5,5,NA,NA,0,0,0,0,12,0
74880,10928,NE SAWDUST HILL RD,Local Access,1,1794,Rural,1794,1 North,1 North,1794,NA,NA,3,3,NA,3,5,5,10,10,1794,17940
74880,10928,NE SAWDUST HILL RD,Local Access,1,1794,Rural,1794,1 North,1 North,0,NA,NA,3,NA,NA,3,0,5,5,5,0,0
80188,7949,NE MIDWAY AVE,Local Access,1,448,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,448,0
75060,12855,NE CRAWFORD DR,Local Access,1,846,Rural,846,1 North,1 North,846,NA,NA,NA,1,NA,3,1,0,1,1,846,846
75060,12855,NE CRAWFORD DR,Local Access,1,846,Rural,846,1 North,1 North,844,NA,NA,1,NA,NA,3,0,1,1,1,844,844
70370,10592,MILLER BAY RD NE,Major Collector,1,2693,Rural,2693,1 North,1 North,1817,NA,NA,3,3,NA,6,1,1,2,2,1817,3634
70370,10592,MILLER BAY RD NE,Major Collector,1,2693,Rural,2693,1 North,1 North,876,NA,NA,3,3,NA,6,1,1,2,2,876,1752
70370,10592,MILLER BAY RD NE,Major Collector,1,2693,Rural,2693,1 North,1 North,0,NA,NA,3,NA,NA,6,0,1,1,1,0,0
71650,7040,STOTTLEMEYER RD NE,Local Access,1,3028,Rural,3028,1 North,1 North,3028,NA,NA,4,4,NA,3,5,5,10,10,3028,30280
71650,7889,STOTTLEMEYER RD NE,Local Access,1,1313,Rural,1313,1 North,1 North,1313,NA,NA,4,4,NA,3,5,5,10,10,1313,13130
74880,1291,NE SAWDUST HILL RD,Local Access,1,1579,Rural,1579,1 North,1 North,0,NA,NA,3,NA,NA,3,0,5,5,5,0,0
74880,1291,NE SAWDUST HILL RD,Local Access,1,1579,Rural,1579,1 North,1 North,1579,NA,NA,3,3,NA,3,5,5,10,10,1579,15790
71650,7988,STOTTLEMEYER RD NE,Local Access,1,940,Rural,940,1 North,1 North,940,NA,NA,4,4,NA,3,5,5,10,10,940,9400
74880,7139,NE SAWDUST HILL RD,Local Access,1,1117,Rural,1117,1 North,1 North,0,NA,NA,NA,3,NA,3,5,0,5,5,0,0
80750,11008,DIVISION ST NE,Local Access,1,664,Rural,664,1 North,1 North,664,NA,NA,2,2,NA,3,1,1,2,2,664,1328
80240,3829,NE LOUGHREY AVE,Local Access,1,434,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,434,0
86680,12173,KINGSTON ST NE,Local Access,1,518,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,518,0
75060,9827,NE CRAWFORD DR,Local Access,1,667,Rural,667,1 North,1 North,667,NA,NA,1,1,NA,3,1,1,2,2,667,1334
80740,5521,GREENWOOD ST NE,Local Access,1,220,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,220,0
80300,3163,NE EVERGREEN AVE,Local Access,1,562,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,562,0
80740,15621,GREENWOOD ST NE,Local Access,1,205,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,205,0
80410,7751,KITSAP ST NE,Local Access,1,153,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,153,0
70370,9149,MILLER BAY RD NE,Major Collector,1,290,Rural,290,1 North,1 North,247,NA,NA,8,8,NA,6,5,5,10,10,247,2470
70370,9149,MILLER BAY RD NE,Major Collector,1,290,Rural,290,1 North,1 North,42,NA,NA,8,8,NA,6,5,5,10,10,42,420
70370,9149,MILLER BAY RD NE,Major Collector,1,290,Rural,290,1 North,1 North,0,NA,NA,8,NA,NA,6,0,5,5,5,0,0
