RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,GMA_JURISD,tomatch,distance,sidewalk_right,sidewalk_left,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
40492,14282,CHIVE PL SE,Local Access,2,117,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,117,0
34460,10325,DANA DR SE,Local Access,2,276,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,276,0
40490,15773,HARRIS RD SE,Local Access,2,153,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,153,0
40490,8444,HARRIS RD SE,Local Access,2,231,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,231,0
34292,7239,SE CONVERSE PL,Local Access,2,174,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,174,0
40580,10626,SE ELWOOD CT,Local Access,2,490,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,490,0
40212,1598,SE CARMAE DR,Local Access,2,139,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139,0
40212,4642,SE CARMAE DR,Local Access,2,324,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,324,0
40212,664,SE CARMAE DR,Local Access,2,211,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,211,0
40212,7092,SE CARMAE DR,Local Access,2,597,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,597,0
34703,11092,SE GRANDHAVEN ST,Local Access,2,773,Urban,773,Port Orchard UGA,Port Orchard UGA,767,NA,NA,NA,3,5,NA,1,0,1,1,767,767
42961,11238,FOXWOOD DR SE,Local Access,2,615,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,615,0
34295,6899,ESTONIA CT SE,Local Access,2,1216,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1216,0
34215,4697,SE CELEBRITY CT,Local Access,2,562,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,562,0
33900,9144,SE VAN SKIVER RD,Local Access,2,1678,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1678,0
40495,2671,SE FAY CT,Local Access,2,415,Urban,415,Port Orchard UGA,Port Orchard UGA,410,NA,NA,4,2,5,NA,1,1,2,2,410,820
40620,7182,SE BERGER LN,Local Access,2,467,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,467,0
40620,7377,SE BERGER LN,Local Access,2,269,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,269,0
34450,10426,BRASCH RD SE,Local Access,2,608,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,608,0
100,6190,DECATUR AVE,Local Access,2,88,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,88,0
100,18041,DECATUR AVE,Local Access,2,74,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,74,0
40220,4894,WESTWOOD PL SE,Local Access,2,548,Urban,548,Port Orchard UGA,Port Orchard UGA,541,NA,NA,1,1,5,NA,1,1,2,2,541,1082
40490,5759,HARRIS RD SE,Local Access,2,313,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,313,0
22410,4437,SW BERRY LAKE RD,Minor Collector,2,1577,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1577,0
40570,83,SE ALSON CT,Local Access,2,536,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,536,0
40210,1894,PIONEER PL SE,Local Access,2,420,Urban,420,Port Orchard UGA,Port Orchard UGA,393,NA,NA,1,1,5,NA,1,1,2,2,393,786
40700,1083,SE LUND AVE,Minor Arterial,2,232,Urban,232,Port Orchard UGA,Port Orchard UGA,228,NA,NA,8,8,6,NA,2,2,4,4,228,912
40700,1083,SE LUND AVE,Minor Arterial,2,232,Urban,232,Port Orchard UGA,Port Orchard UGA,3,NA,NA,8,8,6,NA,2,2,4,4,3,12
40700,3140,SE LUND AVE,Minor Arterial,2,349,Urban,349,Port Orchard UGA,Port Orchard UGA,349,NA,NA,8,8,6,NA,2,2,4,4,349,1396
40490,10389,HARRIS RD SE,Local Access,2,862,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,862,0
40550,5235,CHASE RD SE,Local Access,2,500,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,500,0
34240,661,SE HILLWOOD LN,Local Access,2,1229,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1229,0
100,5946,SK MALL ACCESS RD,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
34220,3658,FERATE AVE SE,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
21109,609,SIDNEY RD SW,Minor Arterial,2,415,Urban,415,Port Orchard UGA,Port Orchard UGA,383,NA,NA,6,NA,6,NA,0,2,2,2,383,766
21109,609,SIDNEY RD SW,Minor Arterial,2,415,Urban,415,Port Orchard UGA,Port Orchard UGA,409,NA,NA,NA,6,6,NA,2,0,2,2,409,818
40530,2838,SE CHASEWOOD CT,Local Access,2,385,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,385,0
40550,11071,CHASE RD SE,Local Access,2,328,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,328,0
40550,7261,CHASE RD SE,Local Access,2,504,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,504,0
40520,6158,SE KERRI CT,Local Access,2,544,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,544,0
34205,4968,SE CEDAR RD,Local Access,2,254,Urban,254,Port Orchard UGA,Port Orchard UGA,254,NA,NA,5,5,5,NA,2,2,4,4,254,1016
34280,4475,SE DALEA PL,Local Access,2,674,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,674,0
40490,14881,HARRIS RD SE,Local Access,0,427,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,427,0
40490,4750,HARRIS RD SE,Local Access,2,339,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,339,0
40490,13322,HARRIS RD SE,Local Access,2,200,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,200,0
100,2966,DECATUR AVE,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
40198,6799,TURLEY LOOP SE,Local Access,2,727,Urban,727,Port Orchard UGA,Port Orchard UGA,724,NA,3,NA,NA,5,NA,1,0,1,1,724,724
40490,3189,HARRIS RD SE,Local Access,2,547,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,547,0
34205,1874,SE CEDAR RD,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
46090,7515,RETSIL RD E,Major Collector,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
100,15945,DECATUR AVE,Local Access,2,73,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,73,0
100,14110,MITCHELL AVE,Major Collector,2,9,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,0
46630,1765,HENRY HANSON RD SE,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
46820,18214,SE LOVELL ST,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
43910,352,PAYSENO LN SE,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
100,15530,DECATUR AVE,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
100,15524,DECATUR AVE,Local Access,2,47,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,47,0
100,11841,MELCHER ST,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
100,16620,MITCHELL AVE,Major Collector,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
46730,18607,RUSSELL AVE SE,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
42970,16138,CELESTE CT SE,Local Access,2,440,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,440,0
42970,16139,CELESTE CT SE,Local Access,2,449,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,449,0
46330,18634,ARNOLD AVE E,Local Access,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
34741,16439,SE PROPERTY CT,Local Access,0,183,Unknown,183,Port Orchard UGA,Port Orchard UGA,183,5,NA,NA,NA,NA,NA,0,5,5,5,183,915
34741,16440,SE PROPERTY CT,Local Access,0,215,Unknown,215,Port Orchard UGA,Port Orchard UGA,215,5,NA,NA,NA,NA,NA,0,5,5,5,215,1075
34741,16442,SE PROPERTY CT,Local Access,0,90,Unknown,90,Port Orchard UGA,Port Orchard UGA,87,3,NA,NA,NA,NA,NA,0,5,5,5,87,435
34741,16442,SE PROPERTY CT,Local Access,0,90,Unknown,90,Port Orchard UGA,Port Orchard UGA,90,NA,NA,NA,7,NA,NA,0,0,0,0,90,0
34741,16441,SE PROPERTY CT,Local Access,0,311,Unknown,311,Port Orchard UGA,Port Orchard UGA,137,3,NA,NA,NA,NA,NA,0,5,5,5,137,685
34741,16441,SE PROPERTY CT,Local Access,0,311,Unknown,311,Port Orchard UGA,Port Orchard UGA,134,NA,NA,NA,7,NA,NA,0,0,0,0,134,0
34742,16436,ONALASKA LOOP SE,Local Access,0,763,Unknown,763,Port Orchard UGA,Port Orchard UGA,539,NA,5,NA,NA,NA,NA,5,0,5,5,539,2695
34742,16436,ONALASKA LOOP SE,Local Access,0,763,Unknown,763,Port Orchard UGA,Port Orchard UGA,245,5,NA,NA,NA,NA,NA,0,5,5,5,245,1225
34742,18139,ONALASKA LOOP SE,Local Access,0,262,Unknown,262,Port Orchard UGA,Port Orchard UGA,229,NA,5,NA,NA,NA,NA,5,0,5,5,229,1145
34742,18139,ONALASKA LOOP SE,Local Access,0,262,Unknown,262,Port Orchard UGA,Port Orchard UGA,241,5,NA,NA,NA,NA,NA,0,5,5,5,241,1205
34742,16433,ONALASKA LOOP SE,Local Access,0,159,Unknown,159,Port Orchard UGA,Port Orchard UGA,65,5,5,NA,NA,NA,NA,5,5,10,10,65,650
40490,1348,HARRIS RD SE,Local Access,2,204,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,204,0
40199,2452,TURLEY LOOP SE,Local Access,2,466,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,466,0
33350,11062,PHILLIPS RD SE,Major Collector,2,3372,Urban,3372,Port Orchard UGA,Port Orchard UGA,2091,NA,NA,5,5,6,NA,1,1,2,2,2091,4182
33350,16431,PHILLIPS RD SE,Major Collector,2,555,Urban,555,Port Orchard UGA,Port Orchard UGA,547,NA,NA,5,5,6,NA,1,1,2,2,547,1094
33350,16431,PHILLIPS RD SE,Major Collector,2,555,Urban,555,Port Orchard UGA,Port Orchard UGA,7,NA,NA,6,6,6,NA,2,2,4,4,7,28
40490,8576,HARRIS RD SE,Local Access,2,198,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,198,0
40490,16331,HARRIS RD SE,Local Access,2,43,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,43,0
42970,6435,CELESTE CT SE,Local Access,2,322,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,322,0
42970,16140,CELESTE CT SE,Local Access,2,319,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,319,0
21107,10263,BETHEL RD SE,Minor Arterial,2,1137,Urban,1137,Port Orchard UGA,Port Orchard UGA,1134,NA,NA,4,NA,6,NA,0,1,1,1,1134,1134
21107,10263,BETHEL RD SE,Minor Arterial,2,1137,Urban,1137,Port Orchard UGA,Port Orchard UGA,1133,NA,NA,NA,4,6,NA,1,0,1,1,1133,1133
40700,3059,SE LUND AVE,Minor Arterial,2,1305,Urban,1305,Port Orchard UGA,Port Orchard UGA,1304,NA,NA,8,8,6,NA,2,2,4,4,1304,5216
40700,3059,SE LUND AVE,Minor Arterial,2,1305,Urban,1305,Port Orchard UGA,Port Orchard UGA,3,NA,NA,8,8,6,NA,2,2,4,4,3,12
20509,19168,GLENWOOD RD SW,Minor Arterial,2,375,Urban,375,Port Orchard UGA,Port Orchard UGA,345,NA,NA,NA,4,6,NA,1,0,1,1,345,345
43910,14955,PAYSENO LN SE,Local Access,2,63,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,63,0
21107,4120,BETHEL RD SE,Minor Arterial,2,1124,Urban,1124,Port Orchard UGA,Port Orchard UGA,1124,NA,NA,4,4,6,NA,1,1,2,2,1124,2248
34180,4063,SE OREGON ST,Local Access,2,422,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,422,0
40202,3618,SE VILLA CARMEL DR,Local Access,2,566,Urban,566,Port Orchard UGA,Port Orchard UGA,566,NA,NA,1,1,5,NA,1,1,2,2,566,1132
40201,3343,SE COPPER CREEK DR,Local Access,2,156,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,156,0
40200,2908,SE TRAVERA DR,Local Access,2,156,Urban,156,Port Orchard UGA,Port Orchard UGA,156,NA,NA,1,1,5,NA,1,1,2,2,156,312
40200,1828,SE TRAVERA DR,Local Access,2,459,Urban,459,Port Orchard UGA,Port Orchard UGA,459,NA,NA,1,1,5,NA,1,1,2,2,459,918
40260,1574,SE PIERSON ST,Local Access,2,679,Urban,679,Port Orchard UGA,Port Orchard UGA,679,NA,NA,1,1,5,NA,1,1,2,2,679,1358
40620,1880,SE BERGER LN,Local Access,2,175,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,175,0
40268,1768,SE COLVEA DR,Local Access,2,342,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,342,0
40230,207,EASTWOOD AVE SE,Local Access,2,246,Urban,246,Port Orchard UGA,Port Orchard UGA,246,NA,NA,1,1,5,NA,1,1,2,2,246,492
40450,260,SE GALEEL CT,Local Access,2,368,Urban,368,Port Orchard UGA,Port Orchard UGA,368,NA,NA,NA,2,5,NA,1,0,1,1,368,368
40203,963,LA LINDA CT SE,Local Access,2,533,Urban,533,Port Orchard UGA,Port Orchard UGA,526,NA,NA,1,1,5,NA,1,1,2,2,526,1052
40303,5084,SCHERMERHORN PL SE,Local Access,2,259,Urban,259,Port Orchard UGA,Port Orchard UGA,259,NA,NA,NA,1,5,NA,1,0,1,1,259,259
40450,12228,SE GALEEL CT,Local Access,2,213,Urban,213,Port Orchard UGA,Port Orchard UGA,213,NA,NA,NA,2,5,NA,1,0,1,1,213,213
40236,552,SE COLUSA ST,Local Access,2,417,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,417,0
40217,654,CARLA CT SE,Local Access,2,132,Urban,132,Port Orchard UGA,Port Orchard UGA,116,NA,NA,1,1,5,NA,1,1,2,2,116,232
40215,802,MARLYCE CT SE,Local Access,2,136,Urban,136,Port Orchard UGA,Port Orchard UGA,136,NA,NA,1,1,5,NA,1,1,2,2,136,272
40201,8481,SE COPPER CREEK DR,Local Access,2,259,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,259,0
40201,2453,SE COPPER CREEK DR,Local Access,2,903,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,903,0
40615,13337,DURAND PL SE,Local Access,2,561,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,561,0
40620,5542,SE BERGER LN,Local Access,2,327,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,327,0
40270,732,SE CALAVERAS ST,Local Access,2,474,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,474,0
34740,16437,SE SILVERVIEW WAY,Local Access,0,484,Unknown,484,Port Orchard UGA,Port Orchard UGA,481,5,NA,NA,NA,NA,NA,0,5,5,5,481,2405
34740,16437,SE SILVERVIEW WAY,Local Access,0,484,Unknown,484,Port Orchard UGA,Port Orchard UGA,484,NA,NA,7,NA,NA,NA,0,0,0,0,484,0
40396,4891,SE VALE CT,Local Access,2,199,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,199,0
42920,4588,SE SUMMER PL,Local Access,2,418,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,418,0
40394,11486,SE CONVERSE CT,Local Access,2,210,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,210,0
40392,6283,SE CONVERSE CIR,Local Access,2,153,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,153,0
34242,12865,SE PENNSWOOD CT,Local Access,2,520,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,520,0
40609,4155,SE SALMONBERRY RD,Major Collector,2,664,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,664,0
40202,13032,SE VILLA CARMEL DR,Local Access,2,203,Urban,203,Port Orchard UGA,Port Orchard UGA,203,NA,NA,1,1,5,NA,1,1,2,2,203,406
40609,13174,SE SALMONBERRY RD,Major Collector,2,202,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,202,0
40609,11751,SE SALMONBERRY RD,Major Collector,2,173,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,173,0
40609,1443,SE SALMONBERRY RD,Major Collector,2,418,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,418,0
40609,3175,SE SALMONBERRY RD,Major Collector,2,922,Urban,922,Port Orchard UGA,Port Orchard UGA,647,NA,NA,6,6,6,NA,2,2,4,4,647,2588
40609,3175,SE SALMONBERRY RD,Major Collector,2,922,Urban,922,Port Orchard UGA,Port Orchard UGA,37,NA,NA,6,6,6,NA,2,2,4,4,37,148
40609,3192,SE SALMONBERRY RD,Major Collector,2,284,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,284,0
40609,6068,SE SALMONBERRY RD,Major Collector,2,423,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,423,0
40609,5357,SE SALMONBERRY RD,Major Collector,2,224,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,224,0
40609,5376,SE SALMONBERRY RD,Major Collector,2,194,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,194,0
40540,4557,SE LORI LINDA CT,Local Access,2,498,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,498,0
40609,5618,SE SALMONBERRY RD,Major Collector,2,476,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,476,0
40609,6425,SE SALMONBERRY RD,Major Collector,2,410,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,410,0
40609,8134,SE SALMONBERRY RD,Major Collector,2,330,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,330,0
40609,8589,SE SALMONBERRY RD,Major Collector,2,274,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,274,0
40609,9185,SE SALMONBERRY RD,Major Collector,2,1015,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1015,0
40609,9787,SE SALMONBERRY RD,Major Collector,2,320,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,320,0
34205,14587,SE CEDAR RD,Local Access,2,12,Urban,12,Port Orchard UGA,Port Orchard UGA,12,NA,NA,5,5,5,NA,2,2,4,4,12,48
42910,9853,JACKSON AVE SE,Minor Arterial,2,409,Urban,409,Port Orchard UGA,Port Orchard UGA,1,NA,NA,3,3,6,NA,1,1,2,2,1,2
42910,9853,JACKSON AVE SE,Minor Arterial,2,409,Urban,409,Port Orchard UGA,Port Orchard UGA,409,NA,NA,3,3,6,NA,1,1,2,2,409,818
40264,10689,SE GOLDMAUR CT,Local Access,2,526,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,526,0
