RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,NAME,tomatch,distance,sidewalk_right,sidewalk_left,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
10810,18352,NW STAVIS BAY RD,Local Access,1,276,Rural,276,3 Central,3 Central,276,NA,NA,1,1,NA,3,1,1,2,2,276,552
13820,16358,NW APEX AIRPORT RD,Local Access,2,804,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,804,0
56140,1750,NE MCWILLIAMS RD,Minor Arterial,2,621,Urban,621,3 Central,3 Central,184,NA,NA,4,4,6,NA,1,1,2,2,184,368
56140,1750,NE MCWILLIAMS RD,Minor Arterial,2,621,Urban,621,3 Central,3 Central,437,NA,NA,3,5,6,NA,1,1,2,2,437,874
56140,19402,NE MCWILLIAMS RD,Minor Arterial,2,530,Urban,530,3 Central,3 Central,526,NA,NA,4,4,6,NA,1,1,2,2,526,1052
56140,19402,NE MCWILLIAMS RD,Minor Arterial,2,530,Urban,530,3 Central,3 Central,4,NA,NA,4,4,6,NA,1,1,2,2,4,8
13820,19394,NW APEX AIRPORT RD,Local Access,2,574,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,574,0
50509,10313,TRACYTON BEACH RD NW,Major Collector,2,295,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,295,0
55270,321,ESSEX ST NW,Local Access,2,231,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,231,0
50509,10262,TRACYTON BEACH RD NW,Major Collector,2,1114,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1114,0
12256,18019,GOLD CREEK RD W,Minor Collector,1,4350,Rural,4350,3 Central,3 Central,4339,NA,NA,4,NA,NA,4,0,5,5,5,4339,21695
12256,18019,GOLD CREEK RD W,Minor Collector,1,4350,Rural,4350,3 Central,3 Central,4350,NA,NA,NA,4,NA,4,5,0,5,5,4350,21750
12256,16668,GOLD CREEK RD W,Minor Collector,1,1418,Rural,1418,3 Central,3 Central,1418,NA,NA,4,4,NA,4,5,5,10,10,1418,14180
12256,10749,GOLD CREEK RD NW,Minor Collector,1,1494,Rural,1494,3 Central,3 Central,1494,NA,NA,6,6,NA,4,5,5,10,10,1494,14940
56740,1546,NW SID UHINCK DR,Local Access,2,129,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,129,0
56740,6157,NW SID UHINCK DR,Local Access,2,654,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,654,0
12256,9154,GOLD CREEK RD NW,Minor Collector,1,3130,Rural,3130,3 Central,3 Central,3112,NA,NA,6,6,NA,4,5,5,10,10,3112,31120
12256,3865,GOLD CREEK RD W,Minor Collector,1,2445,Rural,2445,3 Central,3 Central,6,NA,NA,4,4,NA,4,5,5,10,10,6,60
12256,3865,GOLD CREEK RD W,Minor Collector,1,2445,Rural,2445,3 Central,3 Central,2184,NA,NA,4,4,NA,4,5,5,10,10,2184,21840
12256,3865,GOLD CREEK RD W,Minor Collector,1,2445,Rural,2445,3 Central,3 Central,253,NA,NA,4,4,NA,4,5,5,10,10,253,2530
12256,16587,GOLD CREEK RD W,Minor Collector,1,997,Rural,997,3 Central,3 Central,997,NA,NA,6,6,NA,4,5,5,10,10,997,9970
12256,14918,GOLD CREEK RD W,Minor Collector,1,314,Rural,314,3 Central,3 Central,314,NA,NA,6,6,NA,4,5,5,10,10,314,3140
12256,5216,GOLD CREEK RD W,Minor Collector,1,3664,Rural,3664,3 Central,3 Central,3664,NA,NA,4,4,NA,4,5,5,10,10,3664,36640
12256,13097,GOLD CREEK RD W,Minor Collector,1,2705,Rural,2705,3 Central,3 Central,2670,NA,NA,6,6,NA,4,5,5,10,10,2670,26700
12256,13097,GOLD CREEK RD W,Minor Collector,1,2705,Rural,2705,3 Central,3 Central,35,NA,NA,4,4,NA,4,5,5,10,10,35,350
12256,18146,GOLD CREEK RD W,Minor Collector,1,1125,Rural,1125,3 Central,3 Central,1125,NA,NA,4,4,NA,4,5,5,10,10,1125,11250
58340,838,NW OLYMPIC VIEW CT,Local Access,1,692,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,692,0
58340,19363,NW OLYMPIC VIEW CT,Local Access,1,218,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,218,0
11910,8172,TIGER MISSION RD W,Local Access,1,1907,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1907,0
11800,389,TIGER LAKE RD W,Local Access,1,2201,Rural,2201,3 Central,3 Central,2200,NA,NA,NA,2,NA,3,1,0,1,1,2200,2200
11910,18017,TIGER MISSION RD W,Local Access,1,269,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,269,0
11800,4307,TIGER LAKE RD W,Local Access,1,774,Rural,774,3 Central,3 Central,774,NA,NA,NA,2,NA,3,1,0,1,1,774,774
11070,9457,MIAMI BEACH RD NW,Local Access,1,489,Rural,489,3 Central,3 Central,489,NA,NA,2,2,NA,3,1,1,2,2,489,978
11070,19366,MIAMI BEACH RD NW,Local Access,1,403,Rural,403,3 Central,3 Central,15,NA,NA,2,NA,NA,3,0,1,1,1,15,15
11070,19366,MIAMI BEACH RD NW,Local Access,1,403,Rural,403,3 Central,3 Central,17,NA,NA,NA,2,NA,3,1,0,1,1,17,17
56791,7440,RIDGETOP BLVD NW,Principal Arterial,2,792,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,792,0
56791,12937,RIDGETOP BLVD NW,Principal Arterial,2,783,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,783,0
19201,19370,DYES INLET RD NW,Local Access,1,145,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,145,0
19201,2821,DYES INLET RD NW,Local Access,1,492,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,492,0
57740,12073,NW BUCKLIN HILL RD,Minor Arterial,2,967,Urban,967,3 Central,3 Central,967,NA,NA,3,5,6,NA,1,1,2,2,967,1934
57740,12073,NW BUCKLIN HILL RD,Minor Arterial,2,967,Urban,967,3 Central,3 Central,0,NA,NA,6,NA,6,NA,0,2,2,2,0,0
57740,154,NW BUCKLIN HILL RD,Minor Arterial,2,1298,Urban,1298,3 Central,3 Central,1298,NA,NA,6,8,6,NA,2,2,4,4,1298,5192
57740,154,NW BUCKLIN HILL RD,Minor Arterial,2,1298,Urban,1298,3 Central,3 Central,0,NA,NA,NA,5,6,NA,1,0,1,1,0,0
56740,11431,NW SID UHINCK DR,Local Access,2,402,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,402,0
56740,4150,NW SID UHINCK DR,Local Access,2,183,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,183,0
56740,5677,NW SID UHINCK DR,Local Access,2,264,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,264,0
50509,16646,TRACYTON BEACH RD NW,Major Collector,2,1758,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1758,0
1009,2632,NW GROSS RD,Local Access,1,3433,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3433,0
54800,19369,NE NEVADA ST,Local Access,2,101,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,101,0
54800,2748,NE NEVADA ST,Local Access,2,283,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,283,0
57942,35,NW FLINTWOOD CT,Local Access,2,753,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,753,0
95013,492,THOMPSON LN NE,Local Access,2,3058,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3058,0
56792,4135,NW CHENA RD,Local Access,2,466,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,466,0
56740,19349,NW SID UHINCK DR,Local Access,2,651,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,651,0
56792,19350,NW CHENA RD,Local Access,2,72,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,72,0
58070,11962,NW HOOD CANAL FARMS RD,Local Access,1,2726,Rural,2726,3 Central,3 Central,1602,NA,NA,2,2,NA,3,1,1,2,2,1602,3204
57810,3450,OLD FRONTIER RD NW,Major Collector,2,1072,Urban,1072,3 Central,3 Central,1072,NA,NA,3,3,6,NA,1,1,2,2,1072,2144
57757,10270,CLEAR CREEK CT NW,Local Access,2,842,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,842,0
57770,14127,CLEAR CREEK RD NW,Minor Arterial,2,349,Urban,349,3 Central,3 Central,325,NA,NA,8,8,6,NA,2,2,4,4,325,1300
57770,14127,CLEAR CREEK RD NW,Minor Arterial,2,349,Urban,349,3 Central,3 Central,0,NA,NA,8,NA,6,NA,0,2,2,2,0,0
57770,14127,CLEAR CREEK RD NW,Minor Arterial,2,349,Urban,349,3 Central,3 Central,23,NA,NA,8,8,6,NA,2,2,4,4,23,92
57770,12171,CLEAR CREEK RD NW,Minor Arterial,2,1169,Urban,1169,3 Central,3 Central,1169,NA,NA,8,8,6,NA,2,2,4,4,1169,4676
57760,3765,NW HALF MILE RD,Local Access,1,2560,Rural,2560,3 Central,3 Central,2560,NA,NA,3,3,NA,3,5,5,10,10,2560,25600
58002,5498,AVELLANA CIR NW,Local Access,2,2377,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2377,0
58000,7171,NW WESTGATE RD,Major Collector,2,2230,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2230,0
57945,11101,IVY LN NW,Local Access,2,1010,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1010,0
58050,3510,NW PADDINGTON CT,Local Access,1,1184,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1184,0
51709,214,OLYMPIC VIEW RD NW,Major Collector,1,1214,Rural,1214,3 Central,3 Central,1211,NA,NA,4,4,NA,6,3,3,6,6,1211,7266
51709,214,OLYMPIC VIEW RD NW,Major Collector,1,1214,Rural,1214,3 Central,3 Central,1,NA,NA,4,4,NA,6,3,3,6,6,1,6
58000,9317,NW WESTGATE RD,Major Collector,2,320,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,320,0
51709,13323,OLYMPIC VIEW RD NW,Minor Collector,1,2082,Rural,2082,3 Central,3 Central,2082,NA,NA,4,4,NA,4,5,5,10,10,2082,20820
58100,8139,NW IOKA DR,Local Access,1,1500,Rural,1500,3 Central,3 Central,0,NA,NA,4,NA,NA,3,0,5,5,5,0,0
57810,8891,OLD FRONTIER RD NW,Major Collector,1,1152,Rural,1152,3 Central,3 Central,1152,NA,NA,3,3,NA,6,1,1,2,2,1152,2304
57950,14111,NW TRIGGER AVE,Minor Arterial,2,164,Urban,164,3 Central,3 Central,164,NA,NA,10,10,6,NA,2,2,4,4,164,656
57950,14107,NW TRIGGER AVE,Minor Arterial,2,234,Urban,234,3 Central,3 Central,0,NA,NA,NA,10,6,NA,2,0,2,2,0,0
13424,3682,NW BIG BIRD DR,Local Access,1,368,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,368,0
13549,1480,NW ANDERSON HILL RD,Major Collector,1,156,Rural,156,3 Central,3 Central,156,NA,NA,4,4,NA,6,3,3,6,6,156,936
1024,10867,NW LAWSTAD PL,Local Access,1,1742,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1742,0
1011,5968,MCAULIFFE LN NW,Local Access,1,584,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,584,0
1011,1475,MCAULIFFE LN NW,Local Access,1,610,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,610,0
1015,786,NW MATHWIG LN,Local Access,2,1814,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1814,0
1054,12185,CHAGNON PL NW,Local Access,2,2996,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2996,0
1065,6697,NW QUIET VIEW LN,Local Access,2,1992,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1992,0
13852,9782,NW WILKES ST,Local Access,2,134,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,134,0
1064,9716,HIDE A WAY LN NW,Local Access,1,671,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,671,0
1017,902,LATHROP LN NW,Local Access,1,1922,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1922,0
1011,12119,MCAULIFFE LN NW,Local Access,1,645,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,645,0
13424,8944,NW BIG BIRD DR,Local Access,1,547,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,547,0
13549,18479,NW ANDERSON HILL RD,Major Collector,1,82,Rural,82,3 Central,3 Central,50,NA,NA,4,4,NA,6,3,3,6,6,50,300
13549,18479,NW ANDERSON HILL RD,Major Collector,1,82,Rural,82,3 Central,3 Central,33,NA,NA,4,4,NA,6,3,3,6,6,33,198
13549,18489,NW ANDERSON HILL RD,Major Collector,1,77,Rural,77,3 Central,3 Central,77,NA,NA,4,4,NA,6,3,3,6,6,77,462
57770,12063,CLEAR CREEK RD NW,Minor Arterial,2,2577,Urban,2577,3 Central,3 Central,2398,NA,NA,8,8,6,NA,2,2,4,4,2398,9592
57770,12063,CLEAR CREEK RD NW,Minor Arterial,2,2577,Urban,2577,3 Central,3 Central,179,NA,NA,8,8,6,NA,2,2,4,4,179,716
57770,12063,CLEAR CREEK RD NW,Minor Arterial,2,2577,Urban,2577,3 Central,3 Central,0,NA,NA,8,NA,6,NA,0,2,2,2,0,0
51709,18345,OLYMPIC VIEW RD NW,Minor Collector,1,4088,Rural,4088,3 Central,3 Central,137,NA,NA,4,4,NA,4,5,5,10,10,137,1370
51709,18345,OLYMPIC VIEW RD NW,Minor Collector,1,4088,Rural,4088,3 Central,3 Central,624,NA,NA,4,NA,NA,4,0,5,5,5,624,3120
51709,18345,OLYMPIC VIEW RD NW,Minor Collector,1,4088,Rural,4088,3 Central,3 Central,1814,NA,NA,NA,4,NA,4,5,0,5,5,1814,9070
57945,18564,IVY LN NW,Local Access,2,642,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,642,0
57958,12905,LEEWAY AVE NW,Local Access,2,1129,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1129,0
13549,2654,NW ANDERSON HILL RD,Major Collector,2,1109,Urban,1109,3 Central,3 Central,0,NA,NA,4,4,6,NA,1,1,2,2,0,0
13549,2654,NW ANDERSON HILL RD,Major Collector,2,1109,Urban,1109,3 Central,3 Central,1109,NA,NA,4,4,6,NA,1,1,2,2,1109,2218
13549,1525,NW ANDERSON HILL RD,Major Collector,1,868,Rural,868,3 Central,3 Central,868,NA,NA,4,4,NA,6,3,3,6,6,868,5208
13739,6270,WILLAMETTE MERIDIAN RD NW,Local Access,1,419,Rural,419,3 Central,3 Central,419,NA,NA,5,5,NA,3,5,5,10,10,419,4190
13739,6257,WILLAMETTE MERIDIAN RD NW,Local Access,1,154,Rural,154,3 Central,3 Central,154,NA,NA,5,5,NA,3,5,5,10,10,154,1540
13739,7037,WILLAMETTE MERIDIAN RD NW,Local Access,1,256,Rural,256,3 Central,3 Central,256,NA,NA,2,2,NA,3,1,1,2,2,256,512
13549,7685,NW ANDERSON HILL RD,Major Collector,1,1172,Rural,1172,3 Central,3 Central,1172,NA,NA,4,4,NA,6,3,3,6,6,1172,7032
13739,12849,WILLAMETTE MERIDIAN RD NW,Local Access,1,666,Rural,666,3 Central,3 Central,619,NA,NA,5,5,NA,3,5,5,10,10,619,6190
13739,12849,WILLAMETTE MERIDIAN RD NW,Local Access,1,666,Rural,666,3 Central,3 Central,47,NA,NA,5,5,NA,3,5,5,10,10,47,470
13739,88,WILLAMETTE MERIDIAN RD NW,Local Access,1,391,Rural,391,3 Central,3 Central,391,NA,NA,5,5,NA,3,5,5,10,10,391,3910
13739,2090,WILLAMETTE MERIDIAN RD NW,Local Access,1,264,Rural,264,3 Central,3 Central,264,NA,NA,5,5,NA,3,5,5,10,10,264,2640
13847,12951,SIROCCO CIR NW,Local Access,2,908,Urban,908,3 Central,3 Central,57,NA,NA,4,NA,5,NA,0,1,1,1,57,57
13854,12097,ASHLEY CIR NW,Local Access,2,231,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,231,0
13846,9850,NW WINDSPRINT CT,Local Access,2,108,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,108,0
57730,10164,NW RANDALL WAY,Minor Arterial,2,526,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,526,0
13760,10378,NW RIGHT WING CT,Local Access,1,271,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,271,0
57958,5441,LEEWAY AVE NW,Local Access,2,1477,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1477,0
13855,3068,ASHLEY DR NW,Local Access,2,271,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,271,0
13854,1076,ASHLEY CIR NW,Local Access,2,200,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,200,0
13858,1248,HAMILTON PL NW,Local Access,2,453,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,453,0
13549,12372,NW ANDERSON HILL RD,Major Collector,2,898,Urban,898,3 Central,3 Central,898,NA,NA,4,4,6,NA,1,1,2,2,898,1796
13549,11556,NW ANDERSON HILL RD,Major Collector,2,524,Urban,524,3 Central,3 Central,298,NA,NA,4,4,6,NA,1,1,2,2,298,596
13549,11556,NW ANDERSON HILL RD,Major Collector,2,524,Urban,524,3 Central,3 Central,207,NA,NA,4,4,6,NA,1,1,2,2,207,414
13549,11556,NW ANDERSON HILL RD,Major Collector,2,524,Urban,524,3 Central,3 Central,17,NA,NA,4,4,6,NA,1,1,2,2,17,34
57810,1465,OLD FRONTIER RD NW,Major Collector,2,210,Urban,210,3 Central,3 Central,44,NA,NA,2,NA,6,NA,0,1,1,1,44,44
57810,1465,OLD FRONTIER RD NW,Major Collector,2,210,Urban,210,3 Central,3 Central,136,NA,NA,2,3,6,NA,1,1,2,2,136,272
13549,12675,NW ANDERSON HILL RD,Major Collector,1,1368,Rural,1368,3 Central,3 Central,1360,NA,NA,4,4,NA,6,3,3,6,6,1360,8160
13549,12675,NW ANDERSON HILL RD,Major Collector,1,1368,Rural,1368,3 Central,3 Central,7,NA,NA,4,4,NA,6,3,3,6,6,7,42
13739,4598,WILLAMETTE MERIDIAN RD NW,Local Access,1,606,Rural,606,3 Central,3 Central,606,NA,NA,5,5,NA,3,5,5,10,10,606,6060
57770,610,CLEAR CREEK RD NW,Minor Arterial,1,1541,Rural,1541,3 Central,3 Central,1541,NA,NA,8,8,NA,4,5,5,10,10,1541,15410
57770,610,CLEAR CREEK RD NW,Minor Arterial,1,1541,Rural,1541,3 Central,3 Central,0,NA,NA,NA,8,NA,4,5,0,5,5,0,0
57770,4418,CLEAR CREEK RD NW,Minor Arterial,1,827,Rural,827,3 Central,3 Central,0,NA,NA,8,8,NA,4,5,5,10,10,0,0
13549,10040,NW ANDERSON HILL RD,Major Collector,1,1059,Rural,1059,3 Central,3 Central,195,NA,NA,6,6,NA,6,5,5,10,10,195,1950
13549,10040,NW ANDERSON HILL RD,Major Collector,1,1059,Rural,1059,3 Central,3 Central,497,NA,NA,4,4,NA,6,3,3,6,6,497,2982
13549,10040,NW ANDERSON HILL RD,Major Collector,1,1059,Rural,1059,3 Central,3 Central,134,NA,NA,4,4,NA,6,3,3,6,6,134,804
13549,10040,NW ANDERSON HILL RD,Major Collector,1,1059,Rural,1059,3 Central,3 Central,231,NA,NA,4,4,NA,6,3,3,6,6,231,1386
13549,7199,NW ANDERSON HILL RD,Major Collector,1,1419,Rural,1419,3 Central,3 Central,1419,NA,NA,4,4,NA,6,3,3,6,6,1419,8514
13549,5796,NW ANDERSON HILL RD,Major Collector,1,244,Rural,244,3 Central,3 Central,113,NA,NA,4,4,NA,6,3,3,6,6,113,678
13549,5796,NW ANDERSON HILL RD,Major Collector,1,244,Rural,244,3 Central,3 Central,9,NA,NA,4,4,NA,6,3,3,6,6,9,54
13549,5796,NW ANDERSON HILL RD,Major Collector,1,244,Rural,244,3 Central,3 Central,121,NA,NA,4,4,NA,6,3,3,6,6,121,726
57684,5608,NW HIGHLAND CT,Local Access,2,860,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,860,0
13549,3232,NW ANDERSON HILL RD,Major Collector,1,1328,Rural,1328,3 Central,3 Central,1328,NA,NA,4,4,NA,6,3,3,6,6,1328,7968
58030,4340,ANDERSON LNDG NW,Local Access,1,290,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,290,0
13739,11573,WILLAMETTE MERIDIAN RD NW,Local Access,1,1064,Rural,1064,3 Central,3 Central,1064,NA,NA,2,2,NA,3,1,1,2,2,1064,2128
13739,11573,WILLAMETTE MERIDIAN RD NW,Local Access,1,1064,Rural,1064,3 Central,3 Central,0,NA,NA,5,5,NA,3,5,5,10,10,0,0
13739,3517,WILLAMETTE MERIDIAN RD NW,Local Access,1,699,Rural,699,3 Central,3 Central,699,NA,NA,5,5,NA,3,5,5,10,10,699,6990
13549,12820,NW ANDERSON HILL RD,Major Collector,1,3269,Rural,3269,3 Central,3 Central,792,NA,NA,4,4,NA,6,3,3,6,6,792,4752
13549,12820,NW ANDERSON HILL RD,Major Collector,1,3269,Rural,3269,3 Central,3 Central,2473,NA,NA,4,4,NA,6,3,3,6,6,2473,14838
13549,12820,NW ANDERSON HILL RD,Major Collector,1,3269,Rural,3269,3 Central,3 Central,2,NA,NA,4,4,NA,6,3,3,6,6,2,12
57768,15416,NW GREAVES WAY,Minor Arterial,0,2281,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2281,0
13770,18189,DICKEY RD NW,Major Collector,2,292,Urban,292,3 Central,3 Central,268,NA,NA,3,3,6,NA,1,1,2,2,268,536
13770,10671,DICKEY RD NW,Major Collector,2,1152,Urban,1152,3 Central,3 Central,1152,NA,NA,3,3,6,NA,1,1,2,2,1152,2304
13739,8889,WILLAMETTE MERIDIAN RD NW,Local Access,1,88,Rural,88,3 Central,3 Central,88,NA,NA,5,5,NA,3,5,5,10,10,88,880
13745,9425,NW AIRPARK CT,Local Access,1,820,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,820,0
58020,8061,NW LUQUASIT TRL,Local Access,1,1124,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1124,0
13755,8972,NW AILERON CT,Local Access,1,506,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,506,0
