RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_right,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,sidewalk_left,score_left,score_right,score,the_score,the_length,w_score
48202,5661,E JUNEAU CT,Local Access,1,342,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,342,0
48204,6470,E SITKA CT,Local Access,1,824,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,824,0
49010,6304,SPRING ST E,Local Access,1,223,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,223,0
48675,7096,VALLEY AVE E,Local Access,1,236,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,236,0
48192,6529,E KLONDIKE CT,Local Access,1,137,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137,0
48340,3471,BAY VIEW AVE E,Local Access,1,343,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,343,0
49010,5258,SPRING ST E,Local Access,1,86,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,86,0
49010,3688,SPRING ST E,Local Access,1,166,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,166,0
47240,5802,SE GRANT ST,Local Access,1,794,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,794,0
48675,5593,VALLEY AVE E,Local Access,1,265,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,265,0
44350,8776,CALIFORNIA AVE E,Local Access,1,289,Rural,289,15,Manchester Elementary,2,Manchester Elementary,88,NA,4,4,NA,3,NA,5,5,10,10,88,880
48675,10198,VALLEY AVE E,Local Access,1,263,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,263,0
48320,12986,E FIR ST,Local Access,1,869,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,869,0
47260,8959,E POLK AVE,Local Access,1,512,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,512,0
47260,8009,E POLK AVE,Local Access,1,547,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,547,0
49472,7925,E MONTANA ST,Local Access,1,323,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,323,0
43809,7412,E MADRONE AVE,Major Collector,1,228,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,228,0
44350,8157,CALIFORNIA AVE E,Local Access,1,296,Rural,296,15,Manchester Elementary,2,Manchester Elementary,90,NA,4,4,NA,3,NA,5,5,10,10,90,900
49473,6335,E IDAHO ST,Local Access,1,283,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,283,0
47262,6264,RICKY CT E,Local Access,1,613,Rural,613,15,Manchester Elementary,2,Manchester Elementary,54,3,NA,NA,NA,3,NA,0,5,5,5,54,270
48200,6701,E CENTER ST,Local Access,1,1312,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1312,0
44350,5893,CALIFORNIA AVE E,Major Collector,1,323,Rural,323,15,Manchester Elementary,2,Manchester Elementary,98,NA,1,1,NA,6,NA,1,1,2,2,98,196
48260,5547,E MAPLE ST,Local Access,1,864,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,864,0
48187,14269,E CRESTWOOD CT,Local Access,1,211,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,211,0
48187,10362,E CRESTWOOD CT,Local Access,1,151,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,151,0
44350,12672,CALIFORNIA AVE E,Major Collector,1,154,Rural,154,15,Manchester Elementary,2,Manchester Elementary,47,NA,1,1,NA,6,NA,1,1,2,2,47,94
48184,11465,E CASCADE DR,Local Access,1,1611,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1611,0
48183,2261,TIMBER TRAIL RD E,Local Access,1,299,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,299,0
48183,8375,TIMBER TRAIL RD E,Local Access,1,306,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,306,0
44350,8674,CALIFORNIA AVE E,Major Collector,1,663,Rural,663,15,Manchester Elementary,2,Manchester Elementary,202,NA,1,1,NA,6,NA,1,1,2,2,202,404
44350,8674,CALIFORNIA AVE E,Major Collector,1,663,Rural,663,15,Manchester Elementary,2,Manchester Elementary,50,NA,4,4,NA,6,NA,3,3,6,6,50,300
44350,9971,CALIFORNIA AVE E,Local Access,1,441,Rural,441,15,Manchester Elementary,2,Manchester Elementary,55,NA,1,1,NA,3,NA,1,1,2,2,55,110
44350,9971,CALIFORNIA AVE E,Local Access,1,441,Rural,441,15,Manchester Elementary,2,Manchester Elementary,134,NA,4,4,NA,3,NA,5,5,10,10,134,1340
48350,7812,CEDAR ST E,Local Access,1,659,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,659,0
49010,11577,SPRING ST E,Local Access,1,266,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,266,0
47680,12246,E COLLINS RD,Local Access,1,2158,Rural,2158,15,Manchester Elementary,2,Manchester Elementary,35,NA,3,3,NA,3,NA,5,5,10,10,35,350
48500,3552,E WYOMING ST,Local Access,1,643,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,643,0
46585,7119,E WASHINGTON ST,Local Access,1,279,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,279,0
48800,346,E HEMLOCK ST,Local Access,1,135,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135,0
44350,6099,CALIFORNIA AVE E,Major Collector,1,185,Rural,185,15,Manchester Elementary,2,Manchester Elementary,56,NA,1,1,NA,6,NA,1,1,2,2,56,112
44350,4989,CALIFORNIA AVE E,Major Collector,1,303,Rural,303,15,Manchester Elementary,2,Manchester Elementary,92,NA,1,1,NA,6,NA,1,1,2,2,92,184
48210,3412,E ALKI VIEW CT,Local Access,1,1152,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1152,0
48180,3056,E VAN BUREN ST,Local Access,1,1318,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1318,0
44350,5153,CALIFORNIA AVE E,Major Collector,1,343,Rural,343,15,Manchester Elementary,2,Manchester Elementary,104,NA,1,1,NA,6,NA,1,1,2,2,104,208
44350,1410,CALIFORNIA AVE E,Major Collector,1,334,Rural,334,15,Manchester Elementary,2,Manchester Elementary,101,NA,1,1,NA,6,NA,1,1,2,2,101,202
49040,6730,E MAPLE ST,Local Access,1,643,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,643,0
48220,3992,E COLLINS RD,Local Access,1,1147,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1147,0
48670,4987,E ALDER ST,Local Access,1,311,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,311,0
48670,1875,E ALDER ST,Local Access,1,329,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,329,0
48183,2692,TIMBER TRAIL RD E,Local Access,1,262,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,262,0
48350,12377,CEDAR ST E,Local Access,1,304,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,304,0
48180,12670,E VAN BUREN ST,Local Access,1,207,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,207,0
48180,12434,E VAN BUREN ST,Local Access,1,313,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,313,0
49400,10978,E DANIELS LOOP,Local Access,1,1329,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1329,0
49210,939,3RD AVE E,Local Access,1,658,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,658,0
49435,10684,E MAIN ST,Minor Arterial,1,203,Rural,203,15,Manchester Elementary,2,Manchester Elementary,11,5,NA,NA,NA,4,NA,0,5,5,5,11,55
48180,10513,E VAN BUREN ST,Local Access,1,269,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,269,0
49370,11456,E CARAWAY RD,Local Access,1,2178,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2178,0
44350,11501,CALIFORNIA AVE E,Major Collector,1,329,Rural,329,15,Manchester Elementary,2,Manchester Elementary,100,NA,1,1,NA,6,NA,1,1,2,2,100,200
49434,11299,E MANDERS WAY,Local Access,1,342,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,342,0
44350,10430,CALIFORNIA AVE E,Major Collector,1,330,Rural,330,15,Manchester Elementary,2,Manchester Elementary,100,NA,1,1,NA,6,NA,1,1,2,2,100,200
44350,9351,CALIFORNIA AVE E,Major Collector,1,328,Rural,328,15,Manchester Elementary,2,Manchester Elementary,100,NA,1,1,NA,6,NA,1,1,2,2,100,200
48180,10385,E VAN BUREN ST,Local Access,1,308,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,308,0
48186,10301,E PATRICIA ST,Local Access,1,544,Rural,544,15,Manchester Elementary,2,Manchester Elementary,165,3,NA,NA,NA,3,NA,0,5,5,5,165,825
48183,7638,TIMBER TRAIL RD E,Local Access,1,248,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,248,0
48675,9760,VALLEY AVE E,Local Access,1,262,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,262,0
48675,10340,VALLEY AVE E,Local Access,1,263,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,263,0
48420,1464,E GRANDVIEW ST,Local Access,1,376,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,376,0
48300,7872,E CHESTER RD,Local Access,1,500,Rural,500,15,Manchester Elementary,2,Manchester Elementary,49,NA,3,3,NA,3,NA,5,5,10,10,49,490
48183,8390,TIMBER TRAIL RD E,Local Access,1,261,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,261,0
43809,15231,MADRONE AVE E,Major Collector,1,83,Rural,83,15,Manchester Elementary,2,Manchester Elementary,25,5,NA,NA,NA,6,NA,0,5,5,5,25,125
48189,11411,E RAINTREE LN,Local Access,1,1052,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1052,0
47250,5221,ALASKA AVE E,Major Collector,1,192,Rural,192,15,Manchester Elementary,2,Manchester Elementary,58,NA,3,3,NA,6,NA,1,1,2,2,58,116
48186,1476,E PATRICIA ST,Local Access,1,938,Rural,938,15,Manchester Elementary,2,Manchester Elementary,43,3,NA,NA,NA,3,NA,0,5,5,5,43,215
47250,985,ALASKA AVE E,Major Collector,1,810,Rural,810,15,Manchester Elementary,2,Manchester Elementary,97,NA,3,3,NA,6,NA,1,1,2,2,97,194
48160,12433,E HARRISON ST,Local Access,1,1140,Rural,1140,15,Manchester Elementary,2,Manchester Elementary,346,NA,2,2,NA,3,NA,1,1,2,2,346,692
49435,468,E MAIN ST,Major Collector,1,78,Rural,78,15,Manchester Elementary,2,Manchester Elementary,8,5,NA,NA,NA,6,NA,0,5,5,5,8,40
49470,12624,NEVADA AVE E,Local Access,1,268,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,268,0
49470,13165,NEVADA AVE E,Local Access,1,254,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,254,0
44130,8912,WOODS RD E,Major Collector,1,1670,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1670,0
44130,4952,WOODS RD E,Major Collector,1,868,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,868,0
47250,6589,ALASKA AVE E,Major Collector,1,330,Rural,330,15,Manchester Elementary,2,Manchester Elementary,100,NA,3,3,NA,6,NA,1,1,2,2,100,200
47250,9165,ALASKA AVE E,Major Collector,1,1330,Rural,1330,15,Manchester Elementary,2,Manchester Elementary,405,NA,3,3,NA,6,NA,1,1,2,2,405,810
47250,12774,ALASKA AVE E,Major Collector,1,483,Rural,483,15,Manchester Elementary,2,Manchester Elementary,147,NA,3,3,NA,6,NA,1,1,2,2,147,294
47250,10964,ALASKA AVE E,Major Collector,1,293,Rural,293,15,Manchester Elementary,2,Manchester Elementary,89,NA,3,3,NA,6,NA,1,1,2,2,89,178
47250,13253,ALASKA AVE E,Major Collector,1,282,Rural,282,15,Manchester Elementary,2,Manchester Elementary,85,NA,3,3,NA,6,NA,1,1,2,2,85,170
47250,1503,ALASKA AVE E,Major Collector,1,248,Rural,248,15,Manchester Elementary,2,Manchester Elementary,75,NA,3,3,NA,6,NA,1,1,2,2,75,150
47250,9391,ALASKA AVE E,Local Access,1,263,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,263,0
47250,10531,ALASKA AVE E,Local Access,1,260,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,260,0
49430,12733,COLCHESTER DR E,Minor Arterial,1,1239,Rural,1239,15,Manchester Elementary,2,Manchester Elementary,208,NA,6,4,NA,4,NA,5,5,10,10,208,2080
49430,8710,COLCHESTER DR E,Minor Arterial,1,62,Rural,62,15,Manchester Elementary,2,Manchester Elementary,18,NA,6,4,NA,4,NA,5,5,10,10,18,180
49430,10207,COLCHESTER DR E,Minor Arterial,1,628,Rural,628,15,Manchester Elementary,2,Manchester Elementary,46,NA,NA,4,NA,4,NA,5,0,5,5,46,230
49430,10207,COLCHESTER DR E,Minor Arterial,1,628,Rural,628,15,Manchester Elementary,2,Manchester Elementary,48,NA,6,NA,NA,4,NA,0,5,5,5,48,240
49430,10207,COLCHESTER DR E,Minor Arterial,1,628,Rural,628,15,Manchester Elementary,2,Manchester Elementary,125,NA,6,NA,NA,4,NA,0,5,5,5,125,625
49430,10207,COLCHESTER DR E,Minor Arterial,1,628,Rural,628,15,Manchester Elementary,2,Manchester Elementary,166,NA,NA,4,NA,4,NA,5,0,5,5,166,830
49430,10207,COLCHESTER DR E,Minor Arterial,1,628,Rural,628,15,Manchester Elementary,2,Manchester Elementary,124,NA,NA,4,NA,4,NA,5,0,5,5,124,620
46550,6742,E DAKOTA ST,Local Access,1,643,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,643,0
44350,61,CALIFORNIA AVE SE,Major Collector,1,334,Rural,334,15,Manchester Elementary,2,Manchester Elementary,101,NA,1,1,NA,6,NA,1,1,2,2,101,202
49010,15232,SPRING ST E,Local Access,1,43,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,43,0
49100,7378,E FIR ST,Local Access,1,645,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,645,0
49435,3562,E MAIN ST,Major Collector,1,243,Rural,243,15,Manchester Elementary,2,Manchester Elementary,74,5,NA,NA,NA,6,NA,0,5,5,5,74,370
49330,1521,1ST AVE E,Local Access,1,315,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,315,0
49270,1286,2ND AVE E,Local Access,1,901,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,901,0
47250,1045,ALASKA AVE E,Local Access,1,328,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,328,0
43809,9360,MADRONE AVE E,Major Collector,1,1077,Rural,1077,15,Manchester Elementary,2,Manchester Elementary,328,5,NA,NA,NA,6,NA,0,5,5,5,328,1640
47250,349,ALASKA AVE E,Local Access,1,526,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,526,0
47250,10721,ALASKA AVE E,Local Access,1,222,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,222,0
47250,7245,ALASKA AVE E,Local Access,1,770,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,770,0
47250,1647,ALASKA AVE E,Local Access,1,435,Rural,435,15,Manchester Elementary,2,Manchester Elementary,55,NA,NA,3,NA,3,NA,5,0,5,5,55,275
47250,1647,ALASKA AVE E,Local Access,1,435,Rural,435,15,Manchester Elementary,2,Manchester Elementary,49,NA,3,NA,NA,3,NA,0,5,5,5,49,245
43809,307,E MADRONE AVE,Major Collector,1,177,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,177,0
48740,8027,E CRICKET LN,Local Access,1,711,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,711,0
48191,55,KLONDIKE TRL E,Local Access,1,383,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,383,0
48196,13131,E MANCHESTER CT,Local Access,1,1227,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1227,0
47410,9885,PUGET DR E,Local Access,1,713,Rural,713,15,Manchester Elementary,2,Manchester Elementary,212,NA,2,2,NA,3,NA,1,1,2,2,212,424
47280,3513,SE TRUMAN ST,Local Access,1,831,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,831,0
48800,3135,E HEMLOCK ST,Local Access,1,338,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,338,0
44350,7997,CALIFORNIA AVE E,Major Collector,1,338,Rural,338,15,Manchester Elementary,2,Manchester Elementary,103,NA,1,1,NA,6,NA,1,1,2,2,103,206
47285,8671,E TAYLOR ST,Local Access,1,1037,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1037,0
48800,1583,E HEMLOCK ST,Local Access,1,652,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,652,0
44350,1825,CALIFORNIA AVE SE,Major Collector,1,323,Rural,323,15,Manchester Elementary,2,Manchester Elementary,98,NA,1,1,NA,6,NA,1,1,2,2,98,196
44350,9233,CALIFORNIA AVE E,Major Collector,1,337,Rural,337,15,Manchester Elementary,2,Manchester Elementary,102,NA,1,1,NA,6,NA,1,1,2,2,102,204
47280,4143,SE TRUMAN ST,Local Access,1,1327,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1327,0
43809,7414,E MADRONE AVE,Major Collector,1,272,Rural,272,15,Manchester Elementary,2,Manchester Elementary,47,5,NA,NA,NA,6,NA,0,5,5,5,47,235
47250,9566,ALASKA AVE E,Major Collector,1,203,Rural,203,15,Manchester Elementary,2,Manchester Elementary,62,NA,3,3,NA,6,NA,1,1,2,2,62,124
47250,495,ALASKA AVE E,Major Collector,1,270,Rural,270,15,Manchester Elementary,2,Manchester Elementary,82,NA,3,3,NA,6,NA,1,1,2,2,82,164
48300,8943,E CHESTER RD,Local Access,1,184,Rural,184,15,Manchester Elementary,2,Manchester Elementary,51,NA,3,3,NA,3,NA,5,5,10,10,51,510
48300,8943,E CHESTER RD,Local Access,1,184,Rural,184,15,Manchester Elementary,2,Manchester Elementary,56,NA,3,3,NA,3,NA,5,5,10,10,56,560
48300,4324,E CHESTER RD,Major Collector,1,950,Rural,950,15,Manchester Elementary,2,Manchester Elementary,49,NA,3,3,NA,6,NA,1,1,2,2,49,98
48300,4324,E CHESTER RD,Major Collector,1,950,Rural,950,15,Manchester Elementary,2,Manchester Elementary,289,NA,3,3,NA,6,NA,1,1,2,2,289,578
48300,4324,E CHESTER RD,Major Collector,1,950,Rural,950,15,Manchester Elementary,2,Manchester Elementary,51,NA,3,3,NA,6,NA,1,1,2,2,51,102
48920,7230,E SPRUCE ST,Local Access,1,646,Rural,646,15,Manchester Elementary,2,Manchester Elementary,196,NA,1,1,NA,3,NA,1,1,2,2,196,392
48920,7230,E SPRUCE ST,Local Access,1,646,Rural,646,15,Manchester Elementary,2,Manchester Elementary,41,NA,NA,1,NA,3,NA,1,0,1,1,41,41
48800,11347,E HEMLOCK ST,Local Access,1,228,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,228,0
49430,3595,COLCHESTER DR E,Minor Arterial,1,275,Rural,275,15,Manchester Elementary,2,Manchester Elementary,84,NA,6,4,NA,4,NA,5,5,10,10,84,840
49430,3595,COLCHESTER DR E,Minor Arterial,1,275,Rural,275,15,Manchester Elementary,2,Manchester Elementary,53,NA,6,NA,NA,4,NA,0,5,5,5,53,265
49430,3595,COLCHESTER DR E,Minor Arterial,1,275,Rural,275,15,Manchester Elementary,2,Manchester Elementary,52,NA,NA,4,NA,4,NA,5,0,5,5,52,260
49430,10066,COLCHESTER DR E,Minor Arterial,1,445,Rural,445,15,Manchester Elementary,2,Manchester Elementary,135,NA,6,4,NA,4,NA,5,5,10,10,135,1350
47760,1603,E FILLMORE ST,Local Access,1,827,Rural,827,15,Manchester Elementary,2,Manchester Elementary,49,NA,5,5,NA,3,NA,5,5,10,10,49,490
48675,1997,VALLEY AVE E,Local Access,1,293,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,293,0
47760,11397,E FILLMORE ST,Local Access,1,1331,Rural,1331,15,Manchester Elementary,2,Manchester Elementary,207,NA,5,5,NA,3,NA,5,5,10,10,207,2070
48920,6203,E SPRUCE ST,Local Access,1,218,Rural,218,15,Manchester Elementary,2,Manchester Elementary,66,NA,1,1,NA,3,NA,1,1,2,2,66,132
48920,6203,E SPRUCE ST,Local Access,1,218,Rural,218,15,Manchester Elementary,2,Manchester Elementary,48,NA,NA,1,NA,3,NA,1,0,1,1,48,48
48920,9862,E SPRUCE ST,Local Access,1,242,Rural,242,15,Manchester Elementary,2,Manchester Elementary,31,NA,1,NA,NA,3,NA,0,1,1,1,31,31
48920,9862,E SPRUCE ST,Local Access,1,242,Rural,242,15,Manchester Elementary,2,Manchester Elementary,51,NA,1,NA,NA,3,NA,0,1,1,1,51,51
48920,9862,E SPRUCE ST,Local Access,1,242,Rural,242,15,Manchester Elementary,2,Manchester Elementary,73,NA,NA,1,NA,3,NA,1,0,1,1,73,73
48920,9862,E SPRUCE ST,Local Access,1,242,Rural,242,15,Manchester Elementary,2,Manchester Elementary,52,NA,NA,1,NA,3,NA,1,0,1,1,52,52
48920,9862,E SPRUCE ST,Local Access,1,242,Rural,242,15,Manchester Elementary,2,Manchester Elementary,38,NA,NA,1,NA,3,NA,1,0,1,1,38,38
44350,11916,CALIFORNIA AVE E,Local Access,1,299,Rural,299,15,Manchester Elementary,2,Manchester Elementary,91,NA,4,4,NA,3,NA,5,5,10,10,91,910
49435,4137,E MAIN ST,Local Access,1,246,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,246,0
