RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,sidewalk_right,score_left,score_right,score,the_score,the_length,w_score
51690,13046,PINE RD NE,Major Collector,2,291,Urban,291,15,Pinecrest Elementary,2,Pinecrest Elementary,88,NA,4,4,6,NA,NA,1,1,2,2,88,176
51690,3635,PINE RD NE,Major Collector,2,516,Urban,516,15,Pinecrest Elementary,2,Pinecrest Elementary,157,NA,4,4,6,NA,NA,1,1,2,2,157,314
51690,5340,PINE RD NE,Major Collector,2,484,Urban,484,15,Pinecrest Elementary,2,Pinecrest Elementary,147,NA,4,4,6,NA,NA,1,1,2,2,147,294
51690,5362,PINE RD NE,Major Collector,2,292,Urban,292,15,Pinecrest Elementary,2,Pinecrest Elementary,89,NA,4,4,6,NA,NA,1,1,2,2,89,178
51690,6718,PINE RD NE,Major Collector,2,363,Urban,363,15,Pinecrest Elementary,2,Pinecrest Elementary,110,NA,4,4,6,NA,NA,1,1,2,2,110,220
51690,6718,PINE RD NE,Major Collector,2,363,Urban,363,15,Pinecrest Elementary,2,Pinecrest Elementary,50,NA,4,4,6,NA,NA,1,1,2,2,50,100
51690,6979,PINE RD NE,Major Collector,2,306,Urban,306,15,Pinecrest Elementary,2,Pinecrest Elementary,93,NA,4,4,6,NA,NA,1,1,2,2,93,186
51690,10275,PINE RD NE,Major Collector,2,638,Urban,638,15,Pinecrest Elementary,2,Pinecrest Elementary,194,NA,4,4,6,NA,NA,1,1,2,2,194,388
51690,10574,PINE RD NE,Major Collector,2,568,Urban,568,15,Pinecrest Elementary,2,Pinecrest Elementary,173,NA,4,4,6,NA,NA,1,1,2,2,173,346
51710,3981,RIDGEMONT DR NE,Local Access,2,460,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,460,0
51767,1106,PARKWAY CT NE,Local Access,2,360,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,360,0
54600,1146,NE RIDDELL RD,Minor Arterial,2,258,Urban,258,15,Pinecrest Elementary,2,Pinecrest Elementary,45,NA,4,4,6,NA,NA,1,1,2,2,45,90
53840,5080,NE DAVID DR,Local Access,2,252,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,252,0
51690,16232,PINE RD NE,Major Collector,2,283,Urban,283,15,Pinecrest Elementary,2,Pinecrest Elementary,81,NA,4,4,6,NA,NA,1,1,2,2,81,162
51764,8236,PINERIDGE CT NE,Local Access,2,37,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,37,0
51763,2799,PINERIDGE DR NE,Local Access,2,204,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,204,0
51765,2743,PINERIDGE PL NE,Local Access,2,102,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,102,0
51769,9022,WOODLAND CT NE,Local Access,2,126,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,126,0
51766,10800,NE VENA CT,Local Access,2,76,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,76,0
51690,16061,PINE RD NE,Major Collector,2,146,Urban,146,15,Pinecrest Elementary,2,Pinecrest Elementary,44,NA,4,4,6,NA,NA,1,1,2,2,44,88
51690,4616,PINE RD NE,Major Collector,2,110,Urban,110,15,Pinecrest Elementary,2,Pinecrest Elementary,33,NA,4,4,6,NA,NA,1,1,2,2,33,66
55720,6056,NE FUSON RD,Local Access,2,1047,Urban,1047,15,Pinecrest Elementary,2,Pinecrest Elementary,50,NA,4,4,5,NA,NA,1,1,2,2,50,100
