RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_right,sidewalk_left,standard_sidewalk,standard_shoulder,shoulder_left,shoulder_right,score_left,score_right,score,the_score,the_length,w_score
56789,7356,PLATEAU CIR NW,Local Access,2,1742,Urban,1742,15,Emerald Heights Elementary,2,Emerald Heights Elementary,530,3,NA,5,NA,NA,NA,0,1,1,1,530,530
56791,6271,RIDGETOP BLVD NW,Major Collector,2,1210,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1210,0
56791,14556,RIDGETOP BLVD NW,Major Collector,2,1251,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1251,0
56791,14552,RIDGETOP BLVD NW,Major Collector,2,707,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,707,0
56791,1507,RIDGETOP BLVD NW,Major Collector,2,710,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,710,0
56786,16670,NW HURRICANE CT,Local Access,2,86,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,86,0
57630,8678,RIDGEPOINT DR NW,Local Access,2,663,Urban,663,15,Emerald Heights Elementary,2,Emerald Heights Elementary,201,NA,3,5,NA,NA,NA,1,0,1,1,201,201
56789,7471,PLATEAU CIR NW,Local Access,2,440,Urban,440,15,Emerald Heights Elementary,2,Emerald Heights Elementary,133,3,NA,5,NA,NA,NA,0,1,1,1,133,133
57631,8275,RIDGEPOINT CIR NW,Local Access,2,919,Urban,919,15,Emerald Heights Elementary,2,Emerald Heights Elementary,126,NA,3,5,NA,NA,NA,1,0,1,1,126,126
56787,10068,MT WORTHINGTON LOOP NW,Local Access,2,243,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,243,0
57630,11489,RIDGEPOINT DR NW,Local Access,2,243,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,243,0
56817,3264,NW BRAMBLE CT,Local Access,2,195,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,195,0
56800,641,QUAIL RUN DR NW,Local Access,2,60,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,60,0
56800,1892,QUAIL RUN DR NW,Local Access,2,322,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,322,0
56801,10501,NW MONTERY CT,Local Access,2,500,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,500,0
57630,7006,RIDGEPOINT DR NW,Local Access,2,251,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,251,0
57630,16363,RIDGEPOINT DR NW,Local Access,2,220,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,220,0
56791,18724,RIDGETOP BLVD NW,Major Collector,2,242,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,242,0
57305,18723,NW TIMBER SHADOW CT,Local Access,2,168,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,168,0
57633,12916,NW VIEWMONT CT,Local Access,2,155,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,155,0
56791,12644,RIDGETOP BLVD NW,Major Collector,2,720,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,720,0
56791,14550,RIDGETOP BLVD NW,Major Collector,2,1170,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1170,0
56791,14555,RIDGETOP BLVD NW,Major Collector,2,581,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,581,0
56791,14557,RIDGETOP BLVD NW,Major Collector,2,634,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,634,0
56791,14558,RIDGETOP BLVD NW,Major Collector,2,671,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,671,0
56791,7838,RIDGETOP BLVD NW,Major Collector,2,1544,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1544,0
56791,804,RIDGETOP BLVD NW,Major Collector,2,374,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,374,0
56791,4701,RIDGETOP BLVD NW,Major Collector,2,600,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,600,0
56791,5180,RIDGETOP BLVD NW,Major Collector,2,612,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,612,0
57310,236,TRAILWOOD PL NW,Local Access,2,269,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,269,0
57630,331,RIDGEPOINT DR NW,Local Access,2,116,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,116,0
57634,1543,SKYMONT PL NW,Local Access,2,256,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,256,0
57633,2032,NW VIEWMONT CT,Local Access,2,305,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,305,0
56787,2058,MT WORTHINGTON LOOP NW,Local Access,2,1183,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1183,0
56762,7368,RAVENA PL NW,Local Access,2,417,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,417,0
56789,2695,PLATEAU CIR NW,Local Access,2,627,Urban,627,15,Emerald Heights Elementary,2,Emerald Heights Elementary,45,3,NA,5,NA,NA,NA,0,1,1,1,45,45
56789,2695,PLATEAU CIR NW,Local Access,2,627,Urban,627,15,Emerald Heights Elementary,2,Emerald Heights Elementary,190,3,NA,5,NA,NA,NA,0,1,1,1,190,190
57630,3128,RIDGEPOINT DR NW,Local Access,2,878,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,878,0
56763,3438,CROSSRIDGE AVE NW,Local Access,2,735,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,735,0
56791,14553,RIDGETOP BLVD NW,Major Collector,2,827,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,827,0
56791,14554,RIDGETOP BLVD NW,Major Collector,2,804,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,804,0
56800,2814,QUAIL RUN DR NW,Local Access,2,282,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,282,0
56760,11052,NW PINNACLE CT,Local Access,2,155,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,155,0
57305,16,NW TIMBER SHADOW CT,Local Access,2,217,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,217,0
56789,8867,PLATEAU CIR NW,Local Access,2,419,Urban,419,15,Emerald Heights Elementary,2,Emerald Heights Elementary,127,3,NA,5,NA,NA,NA,0,1,1,1,127,127
56789,8867,PLATEAU CIR NW,Local Access,2,419,Urban,419,15,Emerald Heights Elementary,2,Emerald Heights Elementary,81,3,NA,5,NA,NA,NA,0,1,1,1,81,81
56789,6959,PLATEAU CIR NW,Local Access,2,210,Urban,210,15,Emerald Heights Elementary,2,Emerald Heights Elementary,43,3,NA,5,NA,NA,NA,0,1,1,1,43,43
56789,6959,PLATEAU CIR NW,Local Access,2,210,Urban,210,15,Emerald Heights Elementary,2,Emerald Heights Elementary,53,3,NA,5,NA,NA,NA,0,1,1,1,53,53
56768,220,NW THORNWOOD CIR,Local Access,2,155,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,155,0
56800,16267,QUAIL RUN DR NW,Local Access,2,247,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,247,0
57630,16258,RIDGEPOINT DR NW,Local Access,2,57,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57,0
57630,13274,RIDGEPOINT DR NW,Local Access,2,221,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,221,0
57630,11273,RIDGEPOINT DR NW,Local Access,2,263,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,263,0
56786,3798,NW HURRICANE CT,Local Access,2,165,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165,0
56786,16545,NW HURRICANE CT,Local Access,2,120,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,120,0
56805,12018,NW HARLEQUIN CT,Local Access,2,256,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,256,0
57305,16254,NW TIMBER SHADOW CT,Local Access,2,31,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,31,0
56768,16255,NW THORNWOOD CIR,Local Access,2,56,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,56,0
56791,14559,RIDGETOP BLVD NW,Major Collector,2,595,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,595,0
56813,7641,NW GOOSEBERRY CT,Local Access,2,160,Urban,160,15,Emerald Heights Elementary,2,Emerald Heights Elementary,48,NA,3,5,NA,NA,NA,1,0,1,1,48,48
56812,7445,NW COVEY CT,Local Access,2,237,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,237,0
56800,7430,QUAIL RUN DR NW,Local Access,2,568,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,568,0
56800,1737,QUAIL RUN DR NW,Local Access,2,186,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,186,0
56789,16264,PLATEAU CIR NW,Local Access,2,53,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53,0
56800,16252,QUAIL RUN DR NW,Local Access,2,55,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,55,0
57630,14588,RIDGEPOINT DR NW,Local Access,2,35,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35,0
56791,15394,RIDGETOP BLVD NW,Major Collector,2,421,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,421,0
